ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
L28b-D-001|D_COMMENT|P1|旧宪章 §12.2（注释只写单位/数学原因/前后置/所有权/线程安全/生命周期/边界/非显然决定）、§12.3-9（无悬空引用）；RQS-PROTOCOL-001 §1|ENGINEERING_SPEC.md §2：注释只写单位/数学原因/前后置条件/所有权/线程安全/生命周期/边界条件/非显然决定，禁止堆积历史版本号/任务编号/审计流水/代码复述；§8：检查器覆盖须含删除/重命名后无悬空引用|命令：grep -c "(line [0-9]" lib/star_detector/src/sdet_api.cpp；sed -n '47p;49p' 同文件；输出：14（原报 8；常量块七处现于 1819-1825，说明块七处于 1799-1805）；:47 #define TWO_SQRT_2_LOG2 2.3548200450309493；:49 struct StarDetectorHandle_s {；而 :1819 的 (line 47) 标的是 SQRT_EXP1|OPEN|NEXT-PACK:NP-DC-01|无|八处裸行锚无一指向被标注量（(line 47) 落 TWO_SQRT_2_LOG2、(line 49) 落 struct 定义），行号漂移后总数增到 14 处；注释给出的可定位性仍全假
L28b-D-002|D_COMMENT|P1|旧宪章 §12.2（注释是解释件非合同件）、§12.3-3（实现须引用有效 SCI/ALG）、§1.1（ALG 权威在 docs/algorithms）；docs/standards/COMMENT_STANDARD.md:10|ENGINEERING_SPEC.md §8：检查器覆盖（至少）含算法引用有效 SCI/ALG、模块 manifest/注册表/构建 target 一致；§2：注释只写非显然决定，禁把注释当语义权威|命令：grep -rIlE "ALG-00[89]" docs contracts；sed -n '95,99p' providers/cpu/baseline/include/astrocs/cpu/baseline_provider_v1.h；输出：docs+contracts 命中文件数 0；v1.h:97 ACS_CPU_KIDX_REJECTION_STATS = 9,  /* ALG-008 rejection-statistics */；:98 ACS_CPU_KIDX_INTEGRATION_ACCUM = 10,/* ALG-009 integration-accumulate */|OPEN|NEXT-PACK:NP-DC-01|无|前台订正（providers/ 仅出现在 CMake 注释行、源不入 target）本轮复核成立；但同串 ID 经 lib/backend_host/backend_table.inc:29-30 编入 astrocs_cpu（CMakeLists.txt:440-452），登记面缺口在编译面仍活；:102-112 的逐 op 公式仍只在头注释
L28b-D-003|D_COMMENT|P1|旧宪章 §11（不得跨 C ABI 抛异常、统一状态码与结构化诊断）、§12.2（注释须与实现一致、禁审计流水）、§12.3-9/-12（结论须可追溯到机器证据）|ENGINEERING_SPEC.md §9：错误通过统一状态码+结构化诊断传播，不跨 C ABI 抛异常；§2：注释只写单位/非显然决定，禁审计流水；§8：检查须能红能绿且结论可追溯|命令：python 解释器逐文件统计 extern "C" 块内列 0 顶层定义；grep -c '^AIO_EXPORT' lib/astro_image_io/src/aio_api.cpp；输出：aio_hips_reader.cpp 块@273 定义 13 个（注释自报 12）；aio_hips_writer.cpp 块@464 定义 12 个（注释自报 9）；aio_api.cpp ^AIO_EXPORT=25 另有 :50 extern "C" int aio_internal_is_fp64 共 26 个 extern C 入口（注释自报 25）|OPEN|NEXT-PACK:NP-DC-02|无|三处自报分母均不可复算：reader 少报 1、writer 少报 3、aio_api 少报 1；屏障覆盖率的分母仍由注释写错
L28b-D-005|D_COMMENT|P1|旧宪章 §12.2（注释须解释而非复述）、§12.3-2/-3（端口引用有效 DATA 合同、实现引用有效 SCI/ALG）、§17.2；docs/standards/COMMENT_STANDARD.md:10|ENGINEERING_SPEC.md §8：检查器覆盖含端口引用有效 DATA 合同、算法引用有效 SCI/ALG；§2：注释只写单位/非显然决定且不得与合同矛盾|命令：grep -rn -E -e 'SCI-xxx' -e 'ALG-xxx' -e 'DATA-xxx' include/；sed -n '128p' include/astrocs/common_abi_v1.h；sed -n '44,48p' tools/quality/contracts/check_comments.py；输出：include/ 命中 11 行占位锚（module_api_v1.h:45/46/117、module.h:21/36/37/38、artifact.h:87/99、artifact_store.h:45、checkpoint.h:71）；common_abi_v1.h:128 char science_contract_id[32];  /* 如 "ALG-P3-003"; NUL 结尾 */；门判据为文件级 "SCI-" not in text 且 "ALG-" not in text|OPEN|NEXT-PACK:NP-DC-01|无|占位串 SCI-xxx 自带 SCI- 前缀，现有门按子串判即通过；消费点 providers/cpu/baseline/src/baseline_provider.cpp:490-493 只判 data!=nullptr 且 size!=0，字段真值仍无注册面校验
L28c-D-001|D_COMMENT|P1|旧宪章 §12.2（注释只解释非显然决定、禁历史编号）、§12.3-3（实现须引用有效 SCI/ALG）；docs/modules/registry/astrocs.phase1.*.md:14-16（ALG-0NN 为占位/编排层词汇）；L28b R-3/R-6c|ENGINEERING_SPEC.md §8：算法引用有效 SCI/ALG 且检查器能红能绿；§2：注释非合同件，禁把注释指为权威|命令：sed -n '24p;47p;88p' providers/cpu/avx2/include/astrocs/cpu/avx2_provider_v1.h；sed -n '20,31p' lib/backend_host/backend_table.inc；grep -rIlE 'ALG-00[89]' docs contracts；输出：avx2:47 " * - 槽位语义逐 op 同 baseline_provider_v1.h 头注释 (calibration: 4 入 1 出;"；:88 ACS_CPU_AVX2_KIDX_CALIBRATION = 0,   /* ALG-001 calibration-pixel-transform */；backend_table.inc:20-31 写死 ALG-001..ALG-009 与 ALG-P3-002 字面量；docs+contracts 内 ALG-008/009 命中文件 0|OPEN|NEXT-PACK:NP-DC-01|无|avx512:59 同款外包；被指为权威的 baseline_provider_v1.h:102-112 仍是唯一逐 op 槽位/公式载体；ALG-008/009 在 docs 全链零登记，而废止编号形已随 backend_table.inc 进编译单元
L28d-D-001|D_COMMENT|P1|旧宪章 §12.2（注释只解释单位/数学原因/边界条件，须与实现一致）、§4.1（每个量须写明单位且不得名实不符）、§12.3-1（文档-代码一致）；docs/algorithms/PLATESOLVE.md §5/§9（TRANS 与残差在像素域）|ENGINEERING_SPEC.md §2：注释只写单位/数学原因/边界条件，须与实现一致；docs/algorithms/PLATESOLVE.md §11.1（TRANS: U(像素)→W(角秒)）、§11.2（返回码/像素中心契约）|命令：sed -n '10,11p;943p;1012p;1016p;1091,1092p' lib/plate_solve/cpp/ipv/src/ipv_ransac.cpp；sed -n '951p;1098,1099p' lib/plate_solve/cpp/ipv/src/ipv_select.cpp；输出：:1016 const double MAX_DIST = 100.0; // AT_MATCH_MAXDIST (原实现 50px, IPV 100 角秒 ≈ 50px * 2"/px)；:943 inline double residual_px( 上方 :942 注释「计算一对匹配的残差 (像素)」；select.cpp:951 output.U[i].x = (det_x[idx] - cx); // 像素, 不乘 s0；:1099 output.W[i].x = proj_xi[idx]; // 角秒|OPEN|NEXT-PACK:NP-DC-02|无|复算推翻原论断：W 为角秒、U 为像素，pred=A·U+t 与 W 同域 ⇒ dist2 真域=角秒²，MAX_DIST=100 与原实现 50px×2"/px 等价，「有效阈=2 倍」「按像素比较」不成立；仍在的偏差是同址单位注释写反——:943 名/注「像素」与 :1012 自述「坐标系为角秒」互斥，:10 把 U 写成角秒（实为像素）
L28e-D-001|D_COMMENT|P1|旧宪章 §12.3-3（算法实现引用有效 SCI/ALG）、§12.3-9（删除/重命名后无悬空引用）；docs/standards/COMMENT_STANDARD.md:10/:32；L28b R-2①/R-3（伪锚三类）/R-5|ENGINEERING_SPEC.md §8：算法引用有效 SCI/ALG、删除/重命名无悬空引用；§2：注释只写单位/数学原因/非显然决定|命令：逐处 sed 抽样读 15 个原报站点；grep -rIn -E -e 'SCI-[A-Z0-9]*-?[0-9]+..[0-9]+' -e 'ALG-[A-Z0-9]*-?[0-9]+..[0-9]+' -e 'DATA-[A-Z0-9]*-?[0-9]+..[0-9]+' -e 'API-[A-Z0-9]*-?[0-9]+..[0-9]+' -e 'TST-[A-Z0-9]*-?[0-9]+..[0-9]+' lib cli include tools ci cmake packaging tests（排除 run/build/out/artifacts/evidence/reports/graph/worktrees/Testing/logs/third_party）；输出：15 处抽样逐字仍在（p1noise_tests_core.cpp:7 SCI-NOISE-001..015；rejection.cpp:8 SCI-REJ-* 与 ALG-REJ-001..008；cosmetic/README.md:66 ALG-COS-001..005；hips_p2/module.yaml:22 ALG-HIPS-001..005 等）；范围锚命中行 90|OPEN|NEXT-PACK:NP-DC-01|无|「X-001..0NN」整串不是任何已注册 ID：登记面 docs/science/NOISE_MODEL.md:3 是 SCI-NOISE-001..015 十五条独立 ID；tools/quality/v19r3_traceability.py:6 明文禁止范围压行，注释面仍以范围锚为主；本轮数字 90 为本域口径，不复用原报 492/136
M1a-D-001|D_COMMENT|P1|旧宪章 §12.3-15（像素语义显式）、§13.1；ALG-WCS-001 §5|docs/algorithms/PLATESOLVE.md §11.2：消费方对 IpvWcsResult/inlier 缓冲坐标必须按 +0.5 契约解读（CRPIX 1-based 与其自洽）；§11.1：+0.5 转换桥接 index-is-center 与 center=index+0.5；ENGINEERING_SPEC.md §2：注释只写单位/边界条件且须与实现一致|命令：sed -n '229,234p' lib/plate_solve/cpp/ipv/include/ipv_api.h；sed -n '146,148p' docs/algorithms/PLATESOLVE.md；sed -n '1786,1787p' lib/plate_solve/cpp/ipv/src/ipv_solver.cpp；输出：ipv_api.h:229 [0] det_x_px - 检测器 x (像素, 图像中心原点, Y 轴向上)；PLATESOLVE.md:148 消费方对 IpvWcsResult/inlier 缓冲坐标必须按 +0.5 契约解读；ipv_solver.cpp:1786 U = 像素坐标, 图像中心原点, Y 轴向上（无 +0.5 转换）|OPEN|NEXT-PACK:NP-DC-02|无|同一缓冲三处声明仍互斥：C 头字段表与实现一致（图像中心原点、Y 向上），推导权威文档要求按 +0.5 契约解读；原报锚 :203-219 已漂到 :229-234，属行锚漂移不等于结论
M3-D-001|D_COMMENT|P1|旧宪章 §12.2（注释与文档/代码不得冲突）、§12.3-1、§4.1；SCI-CAL-001 §10（K 必须是比值）|ENGINEERING_SPEC.md §2：注释只写非显然决定且禁与实现矛盾；§10：模块不得硬编码 workers（线程数由预算决定）；§3：科学公式不可改|命令：grep -n -e '黄金分割' -e '固定 16 线程' -e 'optimize_dark_scale' -e '不使用优化搜索' lib/calibration/src/calibrator.cpp；grep -rn optimize_dark_scale lib/ cli/ include/；输出：:5 支持暗场优化（黄金分割搜索最优暗场缩放因子 K）；:14 // 3. optimize_dark_scale(light, bias, dark, flat, w, h, k_init)；:15 黄金分割搜索最优 K；:25 多线程固定 16 线程（开发环境 16 核）；:99 不使用优化搜索，直接采用 k_init；全仓 optimize_dark_scale 仅 :14 注释自身 1 处，无定义|OPEN|NEXT-PACK:NP-DC-02|无|文件头把不存在的搜索函数登记为「实现函数 3」并与同文件 :98-99「本模块不使用优化搜索」互斥；「固定 16 线程」无 num_threads 支撑（lib/calibration/src 内仅 module_entry.cpp 经 host 租约 omp_set_num_threads），属私有预算措辞
M3-D-002|D_COMMENT|P1|旧宪章 §12.2、§5.3（校准/母版精度合同）、§12.3-1；SCI-CAL-001 §9（精度策略）|ENGINEERING_SPEC.md §3：精度与默认容差不可修改，架构重构不得改科学语义，不得以措辞掩盖；§2：注释不得与实现/合同矛盾|命令：sed -n '110,118p' lib/calibration/include/astro_calibration.h；grep -rn -e ac_generate_master_flat_f64 -e ac_correct_frame_f64 -e ac_calibrate_frame_f64 lib/calibration/src/module_entry.cpp lib/cosmetic/src/module_entry.cpp；grep -o 'API-CAL-[0-9]*' docs/contracts/API_CONTRACTS.csv；输出：头 :112 双精度 ABI 改造 (R10): FP64 模式下全链路使用 double, 不降级到 float32 与 :115-116 统计/mask 操作, 内部将 double 输入转 float 调用 f32 实现 并存；module_entry.cpp:970/975/979/1004/1026 与 cosmetic/module_entry.cpp:802 实调这些 f64 入口；API-CAL-* 在 API_CONTRACTS.csv 0 命中|OPEN|NEXT-PACK:NP-DC-02|无|同段总括与细则仍互斥；原引用面已变——docs/architecture/PUBLIC_API.md 不存在，docs/contracts/API_CONTRACTS.csv 内亦无 API-CAL-008，「已登记偏差」在 docs/contracts 面无可复核落点
