ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
M3b-G-01|G_GOV_GATE|P0|旧宪章 §1.1/§17.1/§17.9-17.10/§12.3-12；旧登记面 docs/KNOWN_LIMITATIONS.md 与 DISP-PSF-001..006|ASTROCS_DESIGN.md §12：发布候选须「追踪无断链、P0/P1=0」，且「未实现/未验收必须明确报告，不得用命令占位/空输出/文档声明冒充完成」；§11.3 状态阶梯为唯一口径。|命令：timeout 60 grep -c -e PSF -e 质心 docs/KNOWN_LIMITATIONS.md docs/owner/RELEASE_STATUS.md; timeout 60 grep -c gate2_psf_oracle ci/checks.json；输出：docs/KNOWN_LIMITATIONS.md:0 / docs/owner/RELEASE_STATUS.md:0 / 0|OPEN|DOC-001|无|限制层（docs/KNOWN_LIMITATIONS.md 为 ACTIVE_INFORMATIVE，8 条限制无一条涉 PSF）与释放状态层仍零提及该未闭合质心 BLOCKER，承载其字面量的 gate2_psf_oracle.py 亦未登记进 ci/checks.json。
M5a-G-001|G_GOV_GATE|P0|旧宪章 §10.5/§18.2（80%/75%/50% 表述）|ASTROCS_DESIGN.md §8：一个进程只有一个资源调度器与线程预算源，heavy 运行自动记录进程/线程 CPU、内存增长与墙钟；docs/plugins/infrastructure/21_observability.md：资源监控与 exit 10 门禁联动。|命令：timeout 60 grep -n -e "kCpuMeanMinPercent =" -e "kMon001UtilSampleMinPercent =" -e "kMon001QueueUtilMinPercent =" cli/resource_gate.h；输出：98:inline constexpr double kCpuMeanMinPercent = 85.0; / 108:inline constexpr double kMon001UtilSampleMinPercent = 85.0; / 111:inline constexpr double kMon001QueueUtilMinPercent = 60.0;|RESOLVED|OBS-001|无|什么证据使其不再成立：0.80 系数已由 kCpuMeanMinPercent=85.0 取代，逐样本/队列阈值改为 85.0/60.0，:260 注释记「旧 D.6 的 0.80 已被 §18.2 明文废止(M5a-G-001)」；残留 :184/:185/:479 注释仍写 0.75/0.50 属文案未同步。
M5a-G-002|G_GOV_GATE|P0|旧宪章 §10.5/§18.2；docs/architecture/observability/RESOURCE_MONITORING_CONTRACT.md 字段口径|ASTROCS_DESIGN.md §8：heavy 运行自动记录进程/线程 CPU、RSS/PSS、内存增长、墙钟，利用率须以已分配容量为口径；docs/plugins/infrastructure/19_runtime.md：统一线程预算与资源监控。|命令：timeout 60 grep -n "inline double cpu_percent_of_allocated_capacity" cli/resource_gate.h; timeout 60 grep -n "cpu_percent_of_allocated_capacity(g, act" cli/commands.cpp；输出：253:inline double cpu_percent_of_allocated_capacity(const GateConfig& g, double cpu_pct) { / 948: astrocs::cpu_percent_of_allocated_capacity(g, act.cpu_pct_p50); / 950: astrocs::cpu_percent_of_allocated_capacity(g, act.cpu_pct_mean);|RESOLVED|OBS-001|无|什么证据使其不再成立：新增容量归一函数并已在生产调用点 commands.cpp:948/:950 使用，resource_gate.h:163-166 注释显式记 M5a-G-002，单核分母不再直接进 90%/85% 判据。
M5a-G-003|G_GOV_GATE|P0|旧宪章 §10.5/§18.2/§17.6/§12.3-12/§12.1|ASTROCS_DESIGN.md §8（资源与利用率门）+ §12（heavy 无持续低利用率、P0/P1=0）；CONTROL_PACK_SPEC.md §7.3（不得用 waiver 掩盖红灯）。|命令：timeout 60 python3 -c "import json;d=json.load(open('ci/checks.json'));ch=d['checks'] if isinstance(d,dict) else d;print('gate-required hits',sum(1 for c in ch if '--gate-required' in ' '.join(c.get('command',[]))));print('requires_monitor',[c['id'] for c in ch if c.get('requires_monitor')])"；输出：gate-required hits 0 / requires_monitor ['BUILD-GCC-RELEASE', 'DEEP-CLANG-BUILD', 'DEEP-SAN-ASAN', 'DEEP-SAN-TSAN', 'DEEP-COV-CPP', 'DEEP-COV-PY', 'V6-DETERMINISM', 'V6-CTEST-UNIT', 'V6-CTEST-INTEGRATION']|OPEN|OBS-001|无|唯一逐字实现冻结阈值的 run_monitored.py::evaluate_frozen_gate 仍零应用点：登记表 145 项零 --gate-required，9 个 requires_monitor 项全为构建/sanitizer/覆盖率面，重计算面（REAL-001）未注册。
M5a-G-005|G_GOV_GATE|P0|旧宪章 §10.4/§12.3-1/§17.6；ARCH-THREAD-001 §5-1/§5-3（docs/architecture/THREAD_BUDGET_ARCH.md）|ASTROCS_DESIGN.md §8：一个进程只有一个资源调度器与线程预算源，模块不得硬编码 workers、不得私建长期线程池；ENGINEERING_SPEC.md §8：检查项须能红能绿。|命令：timeout 120 python3 -c "import os;n=sum(open(os.path.join(d,f),encoding='utf-8',errors='ignore').read().count('std::vector<std::thread>') for d,_,fs in os.walk('lib') if not any(x in d for x in ('tests','archive','third_party')) for f in fs if f.endswith('.cpp'));print('vector-thread-in-lib-cpp =',n)"; timeout 60 sed -n "6p;94p" tools/arch/check_thread_budget.py；输出：vector-thread-in-lib-cpp = 12 / SCAN_ROOTS = [os.path.join(REPO, "lib")] / row_exempt = is_exempt or "watchdog" in line|OPEN|RT-001|无|扫描面仍只 lib/、正则仍不匹配 std::vector<std::thread>（仓库内 12 处不可见）、行级 watchdog 豁免仍在；tests/arch/test_thread_budget.py 仍把空转结果固化为通过条件。
M5b-G-01|G_GOV_GATE|P0|旧宪章 §3.1/§8.1/§12.3-1/§14.4；docs/contracts/ARCH-001.md §7 LEG-003|ASTROCS_DESIGN.md §10.1：双平台各只有一个 CLI 程序为唯一可执行入口，其余能力以 DLL/SO 存在；§6.1/§6.2：唯一命令树。|命令：timeout 60 sed -n "132,133p" tools/check_api_docs.py; timeout 60 grep -n "cmake -S cli" ci/steps/linux_build_root_graph.sh；输出：exe = os.path.join(self.repo, "build", "cli", "astrocs") / if os.path.isfile(exe): / 22:mkdir -p build/cli && cmake -S cli -B build/cli -DCMAKE_BUILD_TYPE=Release \；复验（定版轮）：命令：cd "/workspace/Astro CS Database" ; timeout 30 sed -n "133,134p;155,156p" tools/check_api_docs.py；输出：133: CLI_EXE_CANDIDATES = ("build/astrocs", "build/astrocs.exe", / 134: "build/cli/astrocs", "build/cli/astrocs.exe") / 155: # fail-closed: 缺产物即 FAIL。历史缺陷：此处曾无 else 分支，产物缺失时| RESOLVED |CLI-001|无|使其不再成立：窗口内 CI-001 线自修——check_api_docs.py:126-141 可执行候选改产品图优先（build/astrocs 居首、代码点名引用本条 M5b-G-01 为整改依据），:155 补 else fail-closed（产物全缺即 FAIL）；本轮复验代码逐字在位且门 rc=0。兼容树双二进制本体残留另见 W2-LIB5-4/CLI-001 面。
M5b-G-02|G_GOV_GATE|P0|旧宪章 §17-2/§12.3-3/-4/-9/§1.1；docs/traceability/TRACEABILITY_SPEC.md:23-24|ASTROCS_DESIGN.md §12：发布候选须「追踪无断链」；ENGINEERING_SPEC.md §8：检查项须能红能绿、删除/重命名无悬空引用。|命令：timeout 60 sed -n "146p;159p" tools/quality/check_traceability.py; timeout 60 sed -n "16p" tools/check_traceability.py；输出："rows_broken": len(broken), / return 0 / DEFAULT_TABLES = [os.path.join(REPO, "artifacts", "prerelease_v5", "tables", "TRACEABILITY.csv")]|OPEN|CI-001|无|TRACEABILITY 门仍算出 rows_broken 后无条件 return 0（waivable=false 却不可能红），TRACEABILITY-CODE 仍默认读 artifacts 预发布快照副本，TRACEABILITY-MATRIX 的 changed_paths 仍不含 lib/cli/tests。
M5b-G-03|G_GOV_GATE|P0|旧宪章 §12.3-5（AST 提取须与 API 文档一致）；docs/standards/API_STANDARD.md|ENGINEERING_SPEC.md §8：检查器覆盖须含「API 文档与 AST 一致」，且每项检查须能红能绿。|命令：timeout 60 grep -n "if name not in ast_names" tools/check_ast_api.py; timeout 60 grep -c -e PUBLIC_API -e API_CONTRACTS tools/check_ast_api.py；输出：61: if name not in ast_names: / 0|OPEN|CI-001|无|判据仍是同一头文件的正则声明名 ⊆ 同一头文件 AST 名集（恒真），参数个数 nparams 提取后从未参与比较，脚本零引用 API 文档（PUBLIC_API/API_CONTRACTS 命中 0）。
M5b-G-04|G_GOV_GATE|P0|旧宪章 §16.1/§16.2/§12.3-1/-10/§17-11；GOV-003 docs/governance/VERSION_NAMESPACES.md §1/§3|ASTROCS_DESIGN.md §12：Alpha 之前程序与代码不含任何版本信息，只有通过验收的 Phase 才能在 product manifest 标 available；ENGINEERING_SPEC.md §7：根固定条目白名单。|命令：timeout 60 cat VERSION; timeout 60 python3 -c "import json;print('product',json.load(open('packaging/astrocs.product.json'))['product_version'],'contract',json.load(open('packaging/install-tree.contract.json'))['target_version'],'lock',json.load(open('packaging/dependency-lock.json'))['target_version'])"；输出：0.11.0-alpha.2 / product 0.11.0-alpha.1 contract 0.11.0-alpha.1 lock 0.11.0-alpha.1|OPEN|PKG-001|无|产品版本仍有 4+1 份手工副本（交付清单/安装树合同/依赖锁/两份 schema 与 ci/checks.json 的 --expected），与根 VERSION=0.11.0-alpha.2 漂移，两道版本门扫描面仍不覆盖 packaging/**。
M5b-G-05|G_GOV_GATE|P0|旧宪章 §12.3-1/§12.3-9/§14.2/§14.3-2|ENGINEERING_SPEC.md §8：检查器覆盖须含「模块 manifest/注册表/构建 target/产品清单一致」并能红能绿；ASTROCS_DESIGN.md §7.1：顶层结构唯一。|命令：timeout 60 sed -n "25,26p" tools/quality/contracts/check_build_graph.py; timeout 60 grep -c -e astrocs_runtime -e astrocs_io -e astrocs_p1_sdet docs/architecture/BUILD_GRAPH.md；输出：for tgt in ["phase2","astrocs-stage2","calibrated_pair_diag","rejection_cli"]: / if tgt not in text: / 0|OPEN|INT-001|无|CON-BUILD-GRAPH 仍只做子串存在性检查（不读根 CMakeLists/install_layout/File API），文档中产品目标名命中 0，订正文档反而变红的结构未变。
