ID|原类别|原优先级|旧判据(文档+节号/路径)|最新权威条款|当前证据(命令+输出)|结论|归属|GAP关系|备注
M1a-C-001|C_DOC_CODE_GAP|P0|旧宪章 §12.3-3（公式唯一实现）、§12.3-4（claim↔evidence）、§13.1、§17.1；SCI-WCS-001 §7/§9/§11|ENGINEERING_SPEC.md §3（科学代码红线：公式/权重/精度/容差不可改，不得以代码反推 SCI）；ENGINEERING_SPEC.md §4（单一 entrypoint，禁止越权覆盖 SCI）；ASTROCS_DESIGN.md §12（发布候选须合同无冲突、追踪无断链）|命令：cd /workspace/Astro CS Database && timeout 60 grep -nE NB_GRID=7 与 7×7 于 docs/science/ASTROMETRY.md 及 lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp；输出：ASTROMETRY.md:39 NB_GRID=7 用于逆向拟合 / ASTROMETRY.md:57 AP/BP = argmin 范数平方 on 7×7 grid / ipv_wcs.cpp:411 const int NB_GRID = 41; // 每轴网格点数 (整改: 7 -> 41)|OPEN|P1-001|无|SCI 冻结 7×7 与实现 41×41 阶5（另一路 81×81 阶7）仍割裂；ipv_wcs.cpp:409 自注 1e-4 px 数学不可达需负责人裁决，测试 p1wcs_tests_apbp.cpp:257 仍只设 50px 非验收观察线
M1a-C-002|C_DOC_CODE_GAP|P0|旧宪章 §6.3（禁静默降级）、§14.4（fail-fast）、§12.3-4；SCI-WCS-001 §8；ALG-WCS-001 §11.1|docs/science/ASTROMETRY.md §8 退化与错误语义表：trans 线性奇异 det→0 时拒 SIP 推导并返回参数错误；docs/algorithms/PLATESOLVE.md §11.1：CD det 退化必须视为求解失败 success=0，禁止以 CRPIX 坍缩值冒充解|命令：cd /workspace/Astro CS Database && timeout 60 grep -nE det_lin 与 result->success 于 lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp；输出：341 if (trans 无效 或 det_lin 非有限 或 绝对值 det_lin 小于 1e-15) / 345 result->success = false; / 648 result->success = true;|RESOLVED|P1-001|无|det_lin 小于 1e-15 分支现显式置 success=false 并当场 return（代码内注明 SCI-WCS-001 §8、ALG-WCS-001 §11.1 与宪章 §6.3/§14.4），函数恒 success=true 的缺陷对象已不存在，orchestrator.cpp:2042 的 success 非1 门因此可触发
M1a-C-003|C_DOC_CODE_GAP|P0|旧宪章 §12.3-15（像素语义显式）、§12.3-4；FITS WCS Paper I §2.1.1（xp=x+1）；SCI-WCS-001 §10:137|lib/phase1/wcs/wcs_tan.h:11 合同 参考像素 (1-based)；FITS WCS Paper I §2.1.1（xp = x + 1，CRPIX 为 1-based 参考像素）；SCI-P3 §10:137 边界处缺失 +1 桥接会产生恒定 1px 系统偏移，属明文禁止|命令：cd /workspace/Astro CS Database && timeout 60 grep -nE pts.emplace_back 与 const double dx = x - crpix1 于 lib/core/src/module_adapters.cpp；输出：2149 pts.emplace_back(static_cast<double>(x), static_cast<double>(y)); / 1921 const double dx = x - crpix1; / 2171 p1_tan_forward_reference_sip(sip, wcs.crpix1, ...)|OPEN|P1-001|无|自检环仍以 0-based 数组下标 x 属于 [0,W) 喂 1-based 契约的 WcsTan；独立参考解同施 dx=x-crpix1 故两门对原点平移零判别力（代码 :2181 自承对成对单位错零鉴别力）；p1_wcs.json samples 仍无 pixel_origin 键（grep 零命中）
M1a-C-004|C_DOC_CODE_GAP|P0|旧宪章 §7.3（逐投影须声明合法 FOV 禁静默 fallback）、§12.3-13、§6.3、§17.1；SCI-P3-001 §9a-12/§15|docs/science/PHASE3_HIPS_TO_FITS.md §9a-12:109：alpha 适用 FOV 不超过20度 冻结（中心距极点 至少5度）；§15:143 alpha 最小范围收窄不扩大（产品实现不得自行放宽或扩大）|命令：cd /workspace/Astro CS Database && timeout 60 grep -rnE FOV 或 fov_deg 于 lib/phase3_session/ 及 lib/core/src/module_adapters.cpp；输出：(无输出；grep 退出码 1，命中数 0)|OPEN|P3-001|无|lib/phase3_session 与 module_adapters 内 FOV/fov_deg 零命中，校验面仅 TAN、abs(dec) 不超过85、CRPIX 有限、CD 非奇异；module_adapters.cpp:5616 半球外像素 continue 留 NaN/0 且该行带仍计数发布
M2a-C-1|C_DOC_CODE_GAP|P0|旧宪章 §4.3（产品结构与语义须记录一致）、§12.3-1/-5（合同↔实现↔schema 一致）、§7.3（降级语义须显式不得静默改写）；DATA-GAIA-001|docs/contracts/DATA_SEMANTICS.md §8.2:113：out_match_idx int32 为坐标序，长度 = n_coords（= 结果 JSON n_coords 字段），−1 = 该坐标未匹配|命令：cd /workspace/Astro CS Database && timeout 60 grep -nE b64_idx_cap 与 n_coords 于 lib/gaia_xpsd_client/src/module_entry.c；输出：777 uint64_t b64_idx_cap = match_idx ? b64_encoded_len((uint64_t)c.n_coords * sizeof(int)) : 3; / 794 "n_coords":%d,"leased_workers":%u,"leased":%s,|RESOLVED|DATA-001|无|合同 §8.2 该行已补 长度 = n_coords，编码容量改按 c.n_coords 且载荷回显 n_coords 字段，截断为 matched_count 且不携带 n_coords 的实现已不存在；仅余 部分未命中 回归用例未注册（属测试补强，非本缺陷本体）
M2b-C-01|C_DOC_CODE_GAP|P0|旧宪章 §11（临时工作区+原子提交不得留半产品）、§14.4、§12.2（注释与实现一致）、§5.2/§6.2；STANDARDS_REGISTRY §1.2；DATA_SEMANTICS §12.5|docs/contracts/DATA_SEMANTICS.md §12.5:383：经 IO-003 门禁后对外可见，不得以 writer 直写目录冒认 IO-003 原子语义；docs/algorithms/HIPS_WRITER.md §10 DISP-HIPS-004:313：writer 层不冒认已原子|命令：cd /workspace/Astro CS Database && timeout 60 grep -cE rename 或 fsync 或 staging 或 COMPLETE 或 aio_publish 或 atomic 于 lib/astro_image_io/src/hips/aio_hips_writer.cpp；输出：0|OPEN|AIO-001|无|HiPS writer 内原子原语仍 0 命中且 remove+create 直写仍在（:232-233、:301-302）；module_adapters.cpp:28 与 :4602 两处仍称 AIO-002 原子发布原语内建，与 §12.5 及 ALG DISP-HIPS-004 直接冲突（第三处 p1_op_writer 注释已消失，缺陷面收窄但未闭合）
M3-C-001|C_DOC_CODE_GAP|P0|旧宪章 §4.1（有效域与值域分离）、§5.3、§11、§14.4、§1.1；SCI-PHOT-001 §4/§5/§8/§15|docs/science/PHOTOMETRY.md §4:38：参考星数 绝对值 r_consistent 至少3 才进 IRLS 否则 NO_DATA；绝对值 r_inliers 至少2 才估计 sigma_residual 否则 =0；§8:84 星数不足不参与定标|命令：cd /workspace/Astro CS Database && timeout 60 grep -nE r_consistent.size 小于 3 或 r_inliers.size 至少 2 于 lib/photometric_calib/cpp/src/star_matcher.cpp；输出：518 if (r_consistent.size() < 3) { / 614 if (r_inliers.size() >= 2) {|RESOLVED|P1-002|无|两条星数门（至少3、至少2）已按 SCI-PHOT §4/§8 落地：不足3 走 NO_DATA 且 fit_used=0、scale 保持 1.0 不迭代，不足2 时 sigma_residual=0 并在日志注明不可估计；全函数唯一判据是非空 已不再成立
M3-C-002|C_DOC_CODE_GAP|P0|旧宪章 §4.1（validity 独立于 value）、§5.3（未合同化静默剔除禁止，该剔除而未剔除亦禁止）；DATA_SEMANTICS（psf_status 与 quality_flags 分列）；SCI-PHOT-001 §4/§6/§10|docs/science/PHOTOMETRY.md §4:37：饱和星（psf_status 非0 或 qf 含 SATURATED 或 HAS_SATURATED）不进入匹配与定标并计 rejected_quality；§10:103 忽略饱和/质量标志列为不可接受变化|命令：cd /workspace/Astro CS Database && timeout 60 grep -nE quality_flags 或 PC_QF_SATURATED_MASK 于 lib/photometric_calib/cpp/src/star_matcher.cpp 及 lib/photometric_calib/cpp/src/pc_api.cpp；输出：star_matcher.cpp:430 saturated = (quality_flags[row] & PC_QF_SATURATED_MASK) != 0u; / star_matcher.cpp:432 if (saturated) { / pc_api.cpp:123 与 :381 两处带 quality_flags 调 cleanAndScale|RESOLVED|P1-002|无|第二个判据（qf 饱和位）已落地：cleanAndScale 增 quality_flags 形参、按 PC_QF_SATURATED_MASK 过滤并计 rejected_quality，公共入口 pc_api.cpp 两处传参；接口与实现都无该判据 的对象已不存在
M3-C-003|C_DOC_CODE_GAP|P0|旧宪章 §1.1（SCI 优先于 ALG 优先于 代码，两层不一致不得选方便的一层）、§1.2（SCI 变更仅在负责人）、§12.3-10；SCI-NOISE-001 §4/§5/§8/§10|docs/science/NOISE_MODEL.md §4:37：min_samples（patch 样本数阈）默认 5；§5:48 合格 patch = 样本数 至少 min_samples；§8:82 退化判据用 min_samples/2|命令：cd /workspace/Astro CS Database && timeout 60 grep -nE min_patch_samples = 64 或 默认 5 或 以代码为准 于 noise_model.cpp 及 NOISE_MODEL.md 及 NOISE_ESTIMATION.md；输出：noise_model.cpp:350 cfg->min_patch_samples = 64; / NOISE_MODEL.md:37 min_samples（patch 样本数阈）默认 5 / NOISE_ESTIMATION.md:152 SCI §4 的 默认 5 为旧稿数字——不改 SCI，以代码为准登记|OPEN|P1-002|无|SCI FROZEN 默认 5 与代码 64 相差 12.8 倍未变，ALG §13.2 不改 SCI 以代码为准 的裁决语仍在活动文档，权威层级倒置未纠，负责人裁决项未登记
M3b-C-01|C_DOC_CODE_GAP|P0|旧宪章 §1.1（历史文档仅作线索、第 8 层不具规范效力，两层不一致必须建 finding）、§4.1/§5.3；SCI-P1-STAR-001 §1/§2；SCI-PSF-001 §3a；DATA-P1-STAR §17.2；GLOSSARY pixel_coordinate|ASTROCS_DESIGN.md §0（本文与其他文档冲突以本文为准，Agent 无权放宽或重新解释）；ASTROCS_DESIGN.md §11.3（状态阶梯唯一口径）+ §12（未实现/未验收必须明确报告，不得用文档声明冒充）；DATA-P1-STAR §17.2 像素中心=索引+0.5 与 GLOSSARY:20 索引即中心 并存|命令：cd /workspace/Astro CS Database && timeout 60 grep -nE 无 0.5px 网格量化损失 于 STAR_DETECTION.md 及 STAR_DETECTION_ALGORITHMS.md；并 grep -rnE PSF-001 或 0.5px 或 质心 于 docs/KNOWN_LIMITATIONS.md 及 docs/owner/RELEASE_STATUS.md；输出：STAR_DETECTION.md:13 不引入 0.5px 网格量化损失；合成场验收容差 / ALG:169 亚像素质心: 一阶导/零交叉为连续估计（无 0.5px 网格量化损失） / KNOWN_LIMITATIONS 与 RELEASE_STATUS 合并 grep 零命中，退出码 1|OPEN|MOD-001|无|规范层仍正面宣称无 0.5px 量化损失，已知 BLOCKER 只活在 ARCHIVED_NON_NORMATIVE 归档日志；oracle gate2_psf_oracle.py:320 已把质心门更名 centroid_p95_le_0.01px_converged_not_acceptance 明示非验收，但 SCI/ALG 正文未同步，三处像素中心语义仍互斥
