seq,sha8,日期,作者,分级,权重,角色,紧凑卡,全卡,消息首行
1861,95961406,2026-09-13,付家泽,L,4,重叠复核,compact/1861-95961406.md,cards/1861-95961406.md,docs(audit/RQS): 科学域叶子扫描档案 L01-L10（原始取证，未合并）
1862,2213cc76,2026-09-13,付家泽,M,2,重叠复核,compact/1862-2213cc76.md,cards/1862-2213cc76.md,docs(audit/RQS): 横向叶子档案 L12/L13/L17/L18 与协调记录
1863,6f0b9880,2026-09-13,付家泽,M,2,重叠复核,compact/1863-6f0b9880.md,cards/1863-6f0b9880.md,docs(audit/RQS): 叶子档案 L11（运行时/线程预算/CPU 后端/ACR）与协调记录
1864,cd328f81,2026-09-13,付家泽,S,1,重叠复核,compact/1864-cd328f81.md,cards/1864-cd328f81.md,docs(audit/RQS): 由已发现失败模式反推的第二波横向扫描轴 L19-L25
1865,9a3b5a7d,2026-09-13,付家泽,M,2,重叠复核,compact/1865-9a3b5a7d.md,cards/1865-9a3b5a7d.md,fix(SCI/B2-A15+A17+A18): HISS 部分覆盖/support 量化 + SIP 桥接 + 资源门真实观测（RESCUE-V3 P1 终批）
1866,a731b0fa,2026-09-13,付家泽,M,2,重叠复核,compact/1866-a731b0fa.md,cards/1866-a731b0fa.md,docs(audit/RQS): 叶子档案 L15（国际标准横向六域）与协调记录
1867,68fc6493,2026-09-13,付家泽,S,1,重叠复核,compact/1867-68fc6493.md,cards/1867-68fc6493.md,docs(audit/RQS): 追加 L26-L28 三条横向轴与合并层映射
1868,08970259,2026-09-13,付家泽,M,2,重叠复核,compact/1868-08970259.md,cards/1868-08970259.md,docs(audit/RQS): 叶子档案 L16（追溯链与机器检查有效性）与协调记录
1869,bc1e4e57,2026-09-13,付家泽,M,2,重叠复核,compact/1869-bc1e4e57.md,cards/1869-bc1e4e57.md,docs(audit/RQS): 叶子档案 L03(HiPS/HEALPix/AIO) 与 L25(依赖与派生代码合规) 及协调记录
1870,b346c32a,2026-09-13,付家泽,M,2,重叠复核,compact/1870-b346c32a.md,cards/1870-b346c32a.md,docs(audit/RQS): 横向轴档案 L21(物理量口径矩阵) 与协调记录
1871,b966d95c,2026-09-13,付家泽,M,2,主责,compact/1871-b966d95c.md,cards/1871-b966d95c.md,docs(audit/RQS): 叶子档案 L14(注释广度 Phase2/3) 与协调记录
1872,c21eec50,2026-09-13,付家泽,M,2,主责,compact/1872-c21eec50.md,cards/1872-c21eec50.md,fix(CI/B3): Batch 3 真启用（Windows GSL/接缝门/Phase2 门进 CI/并发归因/known-failures/FD-01）
1873,91024e7f,2026-09-13,付家泽,S,1,主责,compact/1873-91024e7f.md,cards/1873-91024e7f.md,ci(REG/B3-A4+A5): 注册 CTEST-PHASE2-GATES + 基线门 linux-main 末位静态强制（前台单写者）
1874,8caacaef,2026-09-13,付家泽,M,2,主责,compact/1874-8caacaef.md,cards/1874-8caacaef.md,"docs(audit/RQS): 叶子档案 L06(星点检测与 PSF, 7 条 P0) 与协调记录 — 纵向 18/18 闭合"
1875,f5b4b56f,2026-09-13,付家泽,M,2,主责,compact/1875-f5b4b56f.md,cards/1875-f5b4b56f.md,docs(audit/RQS): 横向轴档案 L22/L27 与 R 层复验工作清单
1876,e0d04d8a,2026-09-13,付家泽,L,4,主责,compact/1876-e0d04d8a.md,cards/1876-e0d04d8a.md,docs(audit/RQS): 第一份定稿域 M4（Phase2 排异与马赛克，31 条：P0 7/P1 18/P2 6）
1877,9672bc45,2026-09-13,付家泽,S,1,主责,compact/1877-9672bc45.md,cards/1877-9672bc45.md,docs(audit/RQS): 提升前台亲验证据为 F00-07（独立于叶子代理交付）
1878,80351f38,2026-09-13,付家泽,L,4,主责,compact/1878-80351f38.md,cards/1878-80351f38.md,docs(audit/RQS): 合并层定稿批次 M1a/M2a/M5a/M5b（天测投影/Drizzle星表/运行时/CLI治理）
1879,2a26267c,2026-09-13,付家泽,M,2,主责,compact/1879-2a26267c.md,cards/1879-2a26267c.md,docs(audit/RQS): L24 健壮性轴分片1（3 条 P0，前台代录）+ 各 M 处置表
1880,5702150d,2026-09-13,付家泽,M,2,主责,compact/1880-5702150d.md,cards/1880-5702150d.md,docs(audit/RQS): 定稿批次 M1a(44 条/P0 10) 与 M5b(43 条/P0 8)、L24 分片 2、F00-07
1881,a6f448e4,2026-09-13,付家泽,S,1,主责,compact/1881-a6f448e4.md,cards/1881-a6f448e4.md,docs(audit/RQS): L24 健壮性轴分片3（3 条 P1，前台代录，锚点逐字复验）
1882,dc3d8c8b,2026-09-13,付家泽,S,1,主责,compact/1882-dc3d8c8b.md,cards/1882-dc3d8c8b.md,docs(audit/RQS): L24 分片4（3 条 P1）— 本轴小结升格为两条系统性结论
1883,a627f1e6,2026-09-13,付家泽,M,2,主责,compact/1883-a627f1e6.md,cards/1883-a627f1e6.md,docs(audit/RQS): 前台自纠撤回 F00-07b 误记锚点 + M1a/M5b/M5a/L26 收档记录
1884,1dce779d,2026-09-13,付家泽,M,2,主责,compact/1884-1dce779d.md,cards/1884-1dce779d.md,fix(SCI/B2b): drizzle 库边界精度缺省 FP64 + 帧级 median 剔 NaN + A15 幽灵注入证明（残差）
1885,137a6632,2026-09-14,付家泽,M,2,主责,compact/1885-137a6632.md,cards/1885-137a6632.md,docs(audit/RQS): 正式撤回 F00-07a（前台误记锚点）+ L19/L20/L23 三轴档案入库
1886,0a237f85,2026-09-14,付家泽,L,4,主责,compact/1886-0a237f85.md,cards/1886-0a237f85.md,docs(audit/RQS): M2a 定稿 46 条（P0 6/P1 24/P2 16）+ 第二波横向轴档案与处置表
1887,611b051a,2026-09-14,付家泽,S,1,主责,compact/1887-611b051a.md,cards/1887-611b051a.md,fix(SCI/B2c): 关闭 CON-DOC-SYMBOLS 红 + 校验和确定性（修产物，RESCUE-FD-03）
1888,23f96b9c,2026-09-14,付家泽,S,1,主责,compact/1888-23f96b9c.md,cards/1888-23f96b9c.md,fix(AIO/FD-04): metadata.fits 写成合法 FITS（SIMPLE/BITPIX/NAXIS/EXTEND/END）
1889,d6af8090,2026-09-14,付家泽,L,4,主责,compact/1889-d6af8090.md,cards/1889-d6af8090.md,docs(audit/RQS): M6b 定稿 22 条（P0 4/P1 12/P2 6）+ 全局方法论警示两条
1890,099616d9,2026-09-14,付家泽,S,1,主责,compact/1890-099616d9.md,cards/1890-099616d9.md,docs(audit/RQS): 订正 F00-01/F00-04 转述数字并刷新复验监视清单
