# 批次 C-04｜生产面·具名·语义筛选后待判符号 102 个（源自 2,592 个待判具名符号，筛掉局部量噪声）
# 每行：符号	风险分	入选理由	位点数	位点样例(路径:行|现行值|单位|来源现状)
# 判据见 DISPATCH-C-PREAMBLE.md；产出必须逐符号给 §4 四选一定档
pixfrac	6	名含科学/阈值语素、跨 17 文件共享、登记了单位（即被判为物理量）	23	lib/algorithms/coverage/src/sampler.cpp:122|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/sampler.cpp:137|0.0;1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:54|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
crpix1	6	名含科学/阈值语素、跨 5 文件共享、登记了单位（即被判为物理量）	9	lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:406|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:378|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:60|512.5|未标注|无来源（行内字面量，未见文档/文献锚）
fwhmClipSigma	6	名含科学/阈值语素、跨 5 文件共享、登记了单位（即被判为物理量）	6	lib/algorithms/star_detection/src/sdet_api.cpp:1001|3.0f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/test/sdet_fp64_test.cpp:59|3.0f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/test/sdet_saturation_cursor_test.cpp:119|3.0f|未标注|无来源（行内字面量，未见文档/文献锚）
lambda_min	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	5	lib/algorithms/coverage/src/identifiability.cpp:205|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/identifiability.cpp:248|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/sky_plane.cpp:1901|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
fwhm	6	名含科学/阈值语素、跨 4 文件共享、登记了单位（即被判为物理量）	4	lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:59|3.0|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/integration/v6/src/phase2_integrate.cpp:951|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:71|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
MOFFAT4_FWHM_FACTOR	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/psf/src/dpsf_psf.cpp:25|1.230310|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/psf/module.yaml:127|1.230310|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/psf/src/dpsf_psf.h:4|1.230310|未标注|无来源（行内字面量，未见文档/文献锚）
margin	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:680|0.5|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_wcs.cpp:291|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.cpp:756|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
target_pixel_area	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/integration/v6/src/phase2_integrate.cpp:427|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:42|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/phase3_session/p3_v6_export.cpp:267|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
dtype_min_positive	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	lib/include/astrocs/core/variance_floor.h:92|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
min_v	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	lib/include/astrocs/core/master_unit_guard.h:63|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
wall_ms	5	跨 3 文件共享、位点在配置或公共头、登记了单位（即被判为物理量）	4	lib/include/astrocs/core/contracts.h:220|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/include/astrocs/core/trace.h:72|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/scheduler/src/context.cpp:464|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
min_ra	4	名含科学/阈值语素、登记了单位（即被判为物理量）	5	lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.cpp:715|-90.0;0.0;360.0;90.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.cpp:741|-90.0;0.0;360.0;90.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.cpp:765|-90.0;0.0;360.0;90.0|未标注|无来源（行内字面量，未见文档/文献锚）
sigma_residual_dex	4	名含科学/阈值语素、登记了单位（即被判为物理量）	4	lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:124|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/scheduler/src/module_adapters.cpp:5340|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/scheduler/src/module_adapters.cpp:5346|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
background_tolerance	4	名含科学/阈值语素、登记了单位（即被判为物理量）	3	lib/algorithms/coverage/include/astro/phase2/stage2_common.h:50|3.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/sampler.cpp:314|3.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/sampler.cpp:512|0.0;3.0|未标注|无来源（行内字面量，未见文档/文献锚）
fwhm_est	4	名含科学/阈值语素、登记了单位（即被判为物理量）	3	lib/algorithms/star_detection/src/sdet_api.cpp:1112|0.87f;3.14159265f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/src/sdet_api.cpp:1449|0.87f;3.14159265f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/src/sdet_api.cpp:2155|0.87f;3.14159265f|未标注|无来源（行内字面量，未见文档/文献锚）
