# 批次 C-07｜生产面·具名·语义筛选后待判符号 102 个（源自 2,592 个待判具名符号，筛掉局部量噪声）
# 每行：符号	风险分	入选理由	位点数	位点样例(路径:行|现行值|单位|来源现状)
# 判据见 DISPATCH-C-PREAMBLE.md；产出必须逐符号给 §4 四选一定档
alpha	6	名含科学/阈值语素、跨 10 文件共享、登记了单位（即被判为物理量）	16	lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:146|2.0|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:406|0.5|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:169|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
bscale	6	名含科学/阈值语素、跨 5 文件共享、登记了单位（即被判为物理量）	7	lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:179|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/fits_reader.h:43|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:651|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
mag_min	6	名含科学/阈值语素、跨 4 文件共享、登记了单位（即被判为物理量）	6	lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:446|8.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:69|6.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/photometry/include/astrocs/v6/psfsw.h:206|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
threshold	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	5	lib/algorithms/psf/src/dpsf_psf.cpp:343|1.482602218505602;2.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/src/sdet_api.cpp:579|1.482602218505602;2.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/src/sdet_api.cpp:1779|5.0|未标注|无来源（行内字面量，未见文档/文献锚）
pixel_scale_arcsec	6	名含科学/阈值语素、跨 4 文件共享、登记了单位（即被判为物理量）	4	lib/algorithms/coverage/include/astro/phase2/stage2_common.h:232|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/sky_plane.cpp:1871|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/pipeline/orchestrator/cpp/include/resource_monitor.h:154|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
count	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:1000|1|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/hips/src/module_entry.cpp:210|0|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/src/module_entry.cpp:198|0|未标注|无来源（代码内字面量，未见文档/文献锚）
n_sky	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/noise_snr/cpp/src/snr_science.cpp:226|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:53|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/scheduler/src/module_adapters.cpp:6798|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
ACS_ABI_MINOR_V1	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	lib/include/astrocs/abi/lifecycle_v1.h:111|0u|未标注|不适用（结构性常数，非科学量）
kFlatMedianBandHi	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	lib/include/astrocs/core/master_unit_guard.h:35|2.0|未标注|无来源（代码内字面量，未见文档/文献锚）
sparse_snr.density	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	eng/packaging/config/defaults.json:681|null|点/度²|无来源（GAP-024 显式挂起）
