# 批次 C-01｜生产面·具名·语义筛选后待判符号 102 个（源自 2,592 个待判具名符号，筛掉局部量噪声）
# 每行：符号	风险分	入选理由	位点数	位点样例(路径:行|现行值|单位|来源现状)
# 判据见 DISPATCH-C-PREAMBLE.md；产出必须逐符号给 §4 四选一定档
value	10	出现在 defaults/登记册/合同/资源契约、跨 11 文件共享、位点在配置或公共头、登记了单位（即被判为物理量）	11	lib/infrastructure/scheduler/src/mosaic_window.cpp:47|100.0|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:52|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:302|1.4|未标注|无来源（行内字面量，未见文档/文献锚）
mag_max	6	名含科学/阈值语素、跨 4 文件共享、登记了单位（即被判为物理量）	12	lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:447|20.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:70|16.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/photometry/cpp/src/pc_api.cpp:299|.1f|未标注|无来源（行内字面量，未见文档/文献锚）
zfactor	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	7	lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:718|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:721|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:724|-1.0|未标注|无来源（行内字面量，未见文档/文献锚）
snr_phot	6	名含科学/阈值语素、跨 4 文件共享、登记了单位（即被判为物理量）	6	lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:161|1.0|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:333|1.0|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:844|.2f;.4f|未标注|无来源（行内字面量，未见文档/文献锚）
crpix_x	6	名含科学/阈值语素、跨 4 文件共享、登记了单位（即被判为物理量）	4	lib/algorithms/projection/p3_proj_v6.cpp:460|2.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_projection.cpp:338|2.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_wcs.cpp:114|2.0|未标注|无来源（行内字面量，未见文档/文献锚）
weight_value	6	名含科学/阈值语素、跨 4 文件共享、登记了单位（即被判为物理量）	4	lib/algorithms/integration/v6/src/phase2_integrate.cpp:409|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:191|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:1242|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
kMaxAbsDec	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/projection/p3_proj_v6.cpp:53|85.0|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_projection.cpp:40|85.0|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_wcs.cpp:20|85.0|未标注|无来源（代码内字面量，未见文档/文献锚）
sigma_d	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/calibration/src/cosmetic_corrector.cpp:369|1.482602218505602|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:479|.1f;.2f;.3f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/test/test_synthetic.cpp:227|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
AIO_HASH_FILE_CHUNK	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	lib/include/astrocs/io/aio_abi_v1.h:43|32768u|未标注|无来源（代码内字面量，未见文档/文献锚）
kHipsMaxOrder	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	lib/include/astrocs/core/plan_estimator.h:44|20|未标注|无来源（代码内字面量，未见文档/文献锚）
median	5	跨 10 文件共享、位点在配置或公共头、登记了单位（即被判为物理量）	15	lib/algorithms/calibration/cpp/cosmetic_corrector.cpp:241|.1f;.4f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/calibration/cpp/cosmetic_corrector.cpp:311|.1f;.4f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/calibration/src/master_generator.cpp:289|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
frac	4	名含科学/阈值语素、登记了单位（即被判为物理量）	6	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:697|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/cpp/src/noise_model.cpp:727|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/cpp/src/noise_model.cpp:738|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
