# 批次 C-03｜生产面·具名·语义筛选后待判符号 102 个（源自 2,592 个待判具名符号，筛掉局部量噪声）
# 每行：符号	风险分	入选理由	位点数	位点样例(路径:行|现行值|单位|来源现状)
# 判据见 DISPATCH-C-PREAMBLE.md；产出必须逐符号给 §4 四选一定档
scale	8	名含科学/阈值语素、跨 18 文件共享、位点在配置或公共头、登记了单位（即被判为物理量）	42	lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:130|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/identifiability.cpp:275|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/sky_plane.cpp:429|.6|未标注|无来源（行内字面量，未见文档/文献锚）
tol	6	名含科学/阈值语素、跨 5 文件共享、登记了单位（即被判为物理量）	10	lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.cpp:518|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/src/ipv_itertrans.cpp:514|.2f;4.28|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/src/ipv_itertrans.cpp:543|.2f;.6f;4.28|未标注|无来源（行内字面量，未见文档/文献锚）
flux_conservation_factor	6	名含科学/阈值语素、跨 5 文件共享、登记了单位（即被判为物理量）	6	lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:375|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/integration/v6/src/phase2_integrate.cpp:455|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/integration/v6/src/phase2_integrate.cpp:1281|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
gain_e_per_adu	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	5	lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:488|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:541|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:49|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
dmax	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	4	lib/algorithms/coverage/src/identifiability.cpp:220|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/hips_browser/healpix_browser_qt/app/browser_cli.cpp:868|0.995|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/hips_browser/healpix_browser_qt/app/browser_cli.cpp:869|1.0f|未标注|无来源（行内字面量，未见文档/文献锚）
CRPIX2	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/projection/p3_proj_v6.cpp:511|.10f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_projection.cpp:390|.10f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_wcs.cpp:583|.10f|未标注|无来源（行内字面量，未见文档/文献锚）
kMinWorkers	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/infrastructure/scheduler/src/export_stream.cpp:43|1|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/infrastructure/scheduler/src/mosaic_window.cpp:60|1|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/infrastructure/scheduler/src/normalize_workflow.cpp:188|1|未标注|无来源（代码内字面量，未见文档/文献锚）
sigma_sky_adu	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:83|0.7316727929211932|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:48|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/scheduler/src/module_adapters.cpp:7151|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
calibration.dark_light_exposure_tolerance	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	eng/packaging/config/defaults.json:20|5|s|无来源（负责人裁决未落 SCI 条文）
kMemoryBudgetPercentMin	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	eng/packaging/config/runtime_resources_generated.h.in:17|1|未标注|无来源（代码内字面量，未见文档/文献锚）
