# 批次 C-05｜生产面·具名·语义筛选后待判符号 102 个（源自 2,592 个待判具名符号，筛掉局部量噪声）
# 每行：符号	风险分	入选理由	位点数	位点样例(路径:行|现行值|单位|来源现状)
# 判据见 DISPATCH-C-PREAMBLE.md；产出必须逐符号给 §4 四选一定档
sigma	6	名含科学/阈值语素、跨 14 文件共享、登记了单位（即被判为物理量）	22	lib/infrastructure/scheduler/src/module_adapters.cpp:10807|1.4826|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/calibration/src/cosmetic_corrector.cpp:126|1.482602218505602f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/calibration/src/cosmetic_corrector.cpp:147|1.482602218505602f|未标注|无来源（行内字面量，未见文档/文献锚）
support_power	6	名含科学/阈值语素、跨 5 文件共享、登记了单位（即被判为物理量）	9	lib/algorithms/coverage/include/astro/phase2/stage2_common.h:61|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/stage2_common.cpp:174|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/upm.cpp:274|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
fwhm_px	6	名含科学/阈值语素、跨 5 文件共享、登记了单位（即被判为物理量）	6	lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:81|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:43|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/wrapper_phase1/star_detector.cpp:237|0.5;2.3548|未标注|无来源（行内字面量，未见文档/文献锚）
status	6	出现在 defaults/登记册/合同/资源契约、登记了单位（即被判为物理量）	5	lib/algorithms/drizzle/hips/include/astrocs/hips/publish.h:9|19.94|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/psf/src/dpsf_psf.cpp:377|.2f;.4f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/psf/src/dpsf_psf.cpp:441|.1f;.2f;.4f|未标注|无来源（行内字面量，未见文档/文献锚）
max_v	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	4	lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:418|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:535|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:589|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
alpha_final	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/platesolve/cpp/ipv/include/ipv_select.h:93|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/test/test_mag_iter.cpp:124|.10f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/test/test_mag_iter_delivery.cpp:55|0.2885|未标注|无来源（行内字面量，未见文档/文献锚）
max	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/infrastructure/hips_browser/healpix_browser_qt/core/hips_browser_backend.cpp:346|100000|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/infrastructure/acr/examples/weighted_integration/route_profile_calibration.hpp:61|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/observability/probes/src/probe.cpp:151|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
eps_rel	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	2	lib/include/astrocs/core/variance_floor.h:93|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/include/astrocs/core/variance_floor.h:106|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
index	6	出现在 defaults/登记册/合同/资源契约、登记了单位（即被判为物理量）	1	lib/algorithms/platesolve/cpp/ipv/src/ipv_itertrans.cpp:80|0.5|未标注|无来源（行内字面量，未见文档/文献锚）
photometry.irls_tolerance_dex	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	eng/packaging/config/defaults.json:583|1e-06|dex|无来源（未给浮点精度或收敛速率推导）
