# 批次 C-02｜生产面·具名·语义筛选后待判符号 102 个（源自 2,592 个待判具名符号，筛掉局部量噪声）
# 每行：符号	风险分	入选理由	位点数	位点样例(路径:行|现行值|单位|来源现状)
# 判据见 DISPATCH-C-PREAMBLE.md；产出必须逐符号给 §4 四选一定档
denominator	9	名含科学/阈值语素、出现在 defaults/登记册/合同/资源契约、登记了单位（即被判为物理量）	1	lib/infrastructure/acr/examples/weighted_integration/weighted_integration_common.hpp:38|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
nside	6	名含科学/阈值语素、跨 7 文件共享、登记了单位（即被判为物理量）	11	lib/algorithms/coverage/tools/stage2.cpp:752|1|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/upm.cpp:440|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:839|.2f|未标注|无来源（行内字面量，未见文档/文献锚）
crpix2	6	名含科学/阈值语素、跨 4 文件共享、登记了单位（即被判为物理量）	6	lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:407|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:61|512.5|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:1442|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
A_pixel	6	名含科学/阈值语素、跨 4 文件共享、登记了单位（即被判为物理量）	5	lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:205|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.cpp:61|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.h:36|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
crpix_y	6	名含科学/阈值语素、跨 4 文件共享、登记了单位（即被判为物理量）	4	lib/algorithms/projection/p3_proj_v6.cpp:461|2.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_projection.cpp:339|2.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_wcs.cpp:115|2.0|未标注|无来源（行内字面量，未见文档/文献锚）
CRPIX1	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/projection/p3_proj_v6.cpp:510|.10f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_projection.cpp:389|.10f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_wcs.cpp:582|.10f|未标注|无来源（行内字面量，未见文档/文献锚）
kMaxSide	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/projection/p3_proj_v6.cpp:56|20000|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_projection.cpp:43|20000|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/projection/p3_wcs.cpp:24|20000|未标注|无来源（代码内字面量，未见文档/文献锚）
sigma_location_se_mag	6	名含科学/阈值语素、跨 3 文件共享、登记了单位（即被判为物理量）	3	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1196|2.5|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.cpp:87|2.5|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:80|0.0;2.5|未标注|无来源（行内字面量，未见文档/文献锚）
AIO_STATUS_COUNT	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	lib/include/astrocs/io/aio_abi_v1.h:65|.15|未标注|无来源（行内字面量，未见文档/文献锚）
kMemoryBudgetPercentMax	6	名含科学/阈值语素、位点在配置或公共头、登记了单位（即被判为物理量）	1	eng/packaging/config/runtime_resources_generated.h.in:18|100|未标注|无来源（代码内字面量，未见文档/文献锚）
