seq,sha8,日期,作者,分级,权重,角色,紧凑卡,全卡,消息首行
376,4f68a1af,2026-08-05,fujiaze,M,2,重叠复核,compact/0376-4f68a1af.md,cards/0376-4f68a1af.md,feat(acr): per-device adaptive control basics; utilization target loop demoted to reportin
377,18e6dcdf,2026-08-05,fujiaze,M,2,重叠复核,compact/0377-18e6dcdf.md,cards/0377-18e6dcdf.md,feat(hiss): FP64 SNR 子块 (PREC-109/HISS-102) - 全链 dtype 感知
378,68266341,2026-08-05,fujiaze,S,1,重叠复核,compact/0378-68266341.md,cards/0378-68266341.md,feat(sdet): StarDetector FP64 第一步 - 图像原语 _d (double) 变体 (PREC-108)
379,086df45a,2026-08-05,fujiaze,M,2,重叠复核,compact/0379-086df45a.md,cards/0379-086df45a.md,refactor(acr): unify real benchmark and hardware-profile pipeline
380,997cf4c6,2026-08-05,fujiaze,S,1,重叠复核,compact/0380-997cf4c6.md,cards/0380-997cf4c6.md,"test(acr): expand sanitizer coverage to cpu executor, contracts and controller"
381,dcb8c197,2026-08-05,fujiaze,M,2,重叠复核,compact/0381-dcb8c197.md,cards/0381-dcb8c197.md,refactor(drizzle): 阶段6 Tile 局部累加 + 流式写入 (取消每leaf unordered_map)
382,d7601233,2026-08-05,fujiaze,S,1,重叠复核,compact/0382-d7601233.md,cards/0382-d7601233.md,docs(acr): record 24-plan completion progress and holdout tolerance
383,a407392d,2026-08-05,fujiaze,M,2,重叠复核,compact/0383-a407392d.md,cards/0383-a407392d.md,feat(drizzle): 阶段7 真 Scalar 累计模板化 + WCS/球面几何模板双实例
384,3b7c545e,2026-08-05,fujiaze,M,2,重叠复核,compact/0384-3b7c545e.md,cards/0384-3b7c545e.md,fix(acr): make qualification kernels race-free and workload-equivalent
385,fd42381b,2026-08-05,fujiaze,S,1,重叠复核,compact/0385-fd42381b.md,cards/0385-fd42381b.md,fix(acr): harden cuda bridge capacities and chunked convolution
386,410b0e7a,2026-08-05,fujiaze,M,2,主责,compact/0386-410b0e7a.md,cards/0386-410b0e7a.md,"feat(acr): full qualification fields, raw records and real device metadata"
