seq,sha8,日期,作者,分级,权重,角色,紧凑卡,全卡,消息首行
211,51d89849,2026-07-30,fujiaze,L,4,重叠复核,compact/0211-51d89849.md,cards/0211-51d89849.md,"feat(C-001,H-001~H-003): HISS v2契约冻结 + H链资源监测完成"
212,38b05b0e,2026-07-30,fujiaze,M,2,重叠复核,compact/0212-38b05b0e.md,cards/0212-38b05b0e.md,"feat(C-002): HISS v2读写器实现完成, 37/37测试PASS"
213,af38cf1e,2026-07-30,fujiaze,L,4,重叠复核,compact/0213-af38cf1e.md,cards/0213-af38cf1e.md,feat(Gate C): Gate C 全部通过 + 进入 Gate D
214,5518d0bc,2026-07-30,fujiaze,M,2,重叠复核,compact/0214-5518d0bc.md,cards/0214-5518d0bc.md,feat(Gate D): Gate D全部通过 + F-001完成 + 进入Gate E
215,f9d0a14c,2026-07-30,fujiaze,L,4,重叠复核,compact/0215-f9d0a14c.md,cards/0215-f9d0a14c.md,feat(Gate E): Gate E全部通过 + 进入Gate G
216,aa210b93,2026-07-30,fujiaze,L,4,重叠复核,compact/0216-aa210b93.md,cards/0216-aa210b93.md,"feat(G-001~G-003,F-002): 叠加链完成 + H链全DONE"
217,5a41e285,2026-07-30,fujiaze,M,2,重叠复核,compact/0217-5a41e285.md,cards/0217-5a41e285.md,feat(I-001): 冻结格式、CLI和算法契约
218,d91acf10,2026-07-30,fujiaze,S,1,重叠复核,compact/0218-d91acf10.md,cards/0218-d91acf10.md,fix(p13-001): 修复 stage1_batch_runner 中文路径导致 orchestrator C++ 文件系统错误
219,caa6cb9d,2026-07-30,fujiaze,S,1,重叠复核,compact/0219-caa6cb9d.md,cards/0219-caa6cb9d.md,feat(I-002): 阶段A 15帧代表帧验证通过 + 启动710帧全量回归
220,cb1b20e0,2026-07-30,fujiaze,S,1,重叠复核,compact/0220-cb1b20e0.md,cards/0220-cb1b20e0.md,"feat(p13-001): 支持环境变量覆盖输出目录, 启用3设备并行回归"
221,b00464f9,2026-07-30,fujiaze,S,1,主责,compact/0221-b00464f9.md,cards/0221-b00464f9.md,feat(I-003): 发布包框架就绪 (清单+网站索引+Gate I报告模板)
222,1d66b7be,2026-07-30,fujiaze,S,1,主责,compact/0222-1d66b7be.md,cards/0222-1d66b7be.md,feat(I-002): 新增710帧全量回归汇总脚本 merge_stage_b.py
223,74087e86,2026-07-30,fujiaze,S,1,主责,compact/0223-74087e86.md,cards/0223-74087e86.md,feat(I-002): 新增710帧全量回归汇总脚本 merge_stage_b.py
224,ccfe9a67,2026-07-30,fujiaze,S,1,主责,compact/0224-ccfe9a67.md,cards/0224-ccfe9a67.md,docs: 按ChatGPT Wiki规范重新聚焦Stage1
225,183558ad,2026-07-30,fujiaze,S,1,主责,compact/0225-183558ad.md,cards/0225-183558ad.md,feat: 按Wiki规范修改K计算和CLI事件名
226,78a9121d,2026-07-31,fujiaze,L,4,主责,compact/0226-78a9121d.md,cards/0226-78a9121d.md,feat(Stage1): 完成Stage1/HISS规范化交付 (Phase 0-6)
227,b4bcf8e7,2026-07-31,fujiaze,M,2,主责,compact/0227-b4bcf8e7.md,cards/0227-b4bcf8e7.md,docs(stage1_fix): 新增Stage1/HISS修复规范文档
228,1defe271,2026-07-31,fujiaze,M,2,主责,compact/0228-1defe271.md,cards/0228-1defe271.md,fix(hiss): WP-A 修正Tile父子模型和signal/support语义
229,498a08de,2026-07-31,fujiaze,L,4,主责,compact/0229-498a08de.md,cards/0229-498a08de.md,fix(drizzle): WP-B+WP-D 球面HEALPix重叠+NSIDE校验+pixfrac拒绝
230,e434d3d3,2026-07-31,fujiaze,M,2,主责,compact/0230-e434d3d3.md,cards/0230-e434d3d3.md,feat(calibration): WP-C Gaia测光比例应用
231,134beafc,2026-07-31,fujiaze,L,4,主责,compact/0231-134beafc.md,cards/0231-134beafc.md,fix(hiss): WP-E+WP-F Writer流式改造+SNR布局+未知块拒绝
232,0a5eefbc,2026-07-31,fujiaze,M,2,主责,compact/0232-0a5eefbc.md,cards/0232-0a5eefbc.md,feat(hiss): WP-G 步骤12 Transform正式路径实现
233,91021c35,2026-07-31,fujiaze,M,2,主责,compact/0233-91021c35.md,cards/0233-91021c35.md,feat(WP-H): CLI+Browser 接入新 HISS Reader/Writer (步骤14)
234,d49edb68,2026-07-31,fujiaze,M,2,主责,compact/0234-d49edb68.md,cards/0234-d49edb68.md,feat(hiss): WP-I-1 构建所有模块 + 运行全部测试 + 真实数据集成测试
235,5c19ceeb,2026-07-31,fujiaze,M,2,主责,compact/0235-5c19ceeb.md,cards/0235-5c19ceeb.md,feat(hiss): WP-I-2 真实数据C++实验 + 详细性能报告 (步骤16-17)
236,59e9e39e,2026-07-31,fujiaze,S,1,主责,compact/0236-59e9e39e.md,cards/0236-59e9e39e.md,fix(test): 修复hiss_correctness_test 3个失败测试和计数器bug
237,a78f5430,2026-07-31,fujiaze,L,4,主责,compact/0237-a78f5430.md,cards/0237-a78f5430.md,chore: 整理根目录 + 创建 AGENT.md
238,b9d20c50,2026-07-31,fujiaze,S,1,主责,compact/0238-b9d20c50.md,cards/0238-b9d20c50.md,chore: 删除残留的 AstroCS_Authoritative_Development_Pack ZIP
239,5e4ef44f,2026-07-31,fujiaze,M,2,主责,compact/0239-5e4ef44f.md,cards/0239-5e4ef44f.md,docs(root): 简化 AGENT.md 并新增 testdata/index.json 数据索引
240,896755de,2026-07-31,fujiaze,M,2,主责,compact/0240-896755de.md,cards/0240-896755de.md,docs(testdata): 重写 index.json 修正原始帧语义并新增 run/ 运行目录
241,a50b6cd5,2026-07-31,fujiaze,S,1,主责,compact/0241-a50b6cd5.md,cards/0241-a50b6cd5.md,docs(agent): 删除记忆引用并强化 tools 强制使用规范
242,5dca97c5,2026-07-31,fujiaze,M,2,主责,compact/0242-5dca97c5.md,cards/0242-5dca97c5.md,feat(stage1): Phase B 确定性数据错误修复 (B1/B3-B7) + D NSIDE
243,428746c6,2026-07-31,fujiaze,L,4,主责,compact/0243-428746c6.md,cards/0243-428746c6.md,feat(stage1): Phase A Wiki重写 + B2 query_pixel测试 + E checksum候选注册
244,d8f4a5e1,2026-07-31,fujiaze,M,2,主责,compact/0244-d8f4a5e1.md,cards/0244-d8f4a5e1.md,feat(drizzle): Phase C 球面Drizzle验证 + 独立参考路径
245,8f505194,2026-07-31,fujiaze,M,2,主责,compact/0245-8f505194.md,cards/0245-8f505194.md,feat(experiments): C++实验套件 - codec/transform/occupancy/checksum/alignment/browserIO
246,cb091acb,2026-07-31,fujiaze,S,1,主责,compact/0246-cb091acb.md,cards/0246-cb091acb.md,docs: sync authoritative wiki r04
247,efb16685,2026-08-01,fujiaze,M,2,主责,compact/0247-efb16685.md,cards/0247-efb16685.md,fix(hiss): container and occupancy invariants (R04-B12/B13/B14/B16/B18)
248,497b61a8,2026-08-01,fujiaze,S,1,主责,compact/0248-497b61a8.md,cards/0248-497b61a8.md,fix(drizzle): precise spherical geometry and auto nside (R04-B03/B05/B10)
249,b46b3412,2026-08-01,fujiaze,S,1,主责,compact/0249-b46b3412.md,cards/0249-b46b3412.md,fix(browser): arbitrary tile nside and flux lod (R04-B19/B20)
250,759e1412,2026-08-01,fujiaze,M,2,主责,compact/0250-759e1412.md,cards/0250-759e1412.md,test(stage1): production regressions zero failure
251,e05eb24d,2026-08-01,fujiaze,M,2,主责,compact/0251-e05eb24d.md,cards/0251-e05eb24d.md,experiment(drizzle): add fast branch prototype (R04 FAST_DRIZZLE_CPP_PLAN)
252,19db2c2c,2026-08-01,fujiaze,S,1,主责,compact/0252-19db2c2c.md,cards/0252-19db2c2c.md,docs: update unreviewed status and decision queue (R04)
253,546dfd93,2026-08-01,fujiaze,S,1,主责,compact/0253-546dfd93.md,cards/0253-546dfd93.md,chore(wiki): update submodule pointer to R05 sync (4e90ba2)
