path,type,shipping_target,module,production_or_test,loc,owner_doc,science_ids,algorithm_ids,api_ids,review_status,findings_p0,findings_p1,findings_p2,findings_p3,dead,duplicate,legacy,comment_hygiene,ownership_ok,thread_ok,error_ok,numeric_ok,performance_ok,tests_ok,docs_ok,reviewer_round
.clang-format,root,no,root,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
.editorconfig,root,no,root,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
.gitattributes,root,no,root,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
.github/workflows/ci-linux.yml,aux,no,.github,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
.github/workflows/ci-windows.yml,aux,no,.github,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
.github/workflows/fatduck-admin.yml,aux,no,.github,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
.github/workflows/fatduck.yml,aux,no,.github,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
.gitignore,root,no,root,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
ACCEPTANCE_SPEC.md,aux,no,ACCEPTANCE_SPEC.md,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
AGENTS.md,root,no,root,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
ASTROCS_DESIGN.md,aux,no,ASTROCS_DESIGN.md,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
CMakeLists.txt,aux,no,CMakeLists.txt,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
CMakePresets.json,aux,no,CMakePresets.json,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
CONTROL_PACK_SPEC.md,aux,no,CONTROL_PACK_SPEC.md,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
DEPENDENCIES.md,aux,no,DEPENDENCIES.md,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
ENGINEERING_SPEC.md,aux,no,ENGINEERING_SPEC.md,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
FATDUCK_ACCESS.md,aux,no,FATDUCK_ACCESS.md,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
README.md,root,no,root,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
VERSION,aux,no,VERSION,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/L2/G-RES-01.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/L3/EVIDENCE.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/L4/STATUS.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/README.md,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/ab2f_ab.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/alloc_reports/fix2f_w16_alloc_report.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/alloc_reports/fix2f_w1_alloc_report.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/alloc_reports/fix2f_w4_alloc_report.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/alloc_reports/real16_lock1_w16_alloc_report.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/alloc_reports/real16_w16_alloc_report.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/alloc_reports/real16_w1_alloc_report.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/alloc_reports/real16_w4_alloc_report.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/alloc_reports/real4_w16_alloc_report.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/alloc_reports/real8_w16_alloc_report.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/alloc_reports/v1b2f_w16_alloc_report.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/alloc_reports/v1locked2f_w16_alloc_report.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/gaia_external_requests.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/gates/fix2f_w16_gate.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/gates/fix2f_w1_gate.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/gates/fix2f_w4_gate.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/gates/real16_lock1_w16_gate.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/gates/real16_w16_gate.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/gates/real16_w1_gate.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/gates/real16_w4_gate.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/gates/real4_w16_gate.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/gates/real8_w16_gate.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/gates/v1b2f_w16_gate.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/gates/v1locked2f_w16_gate.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/machine_fingerprint.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/probes/fix2f_w1.probe.jsonl,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/probes/fix2f_w16.probe.jsonl,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/probes/fix2f_w4.probe.jsonl,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/probes/real16_lock1_w16.probe.jsonl,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/probes/real16_w1.probe.jsonl,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/probes/real16_w16.probe.jsonl,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/probes/real16_w4.probe.jsonl,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/probes/real4_w16.probe.jsonl,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/probes/real8_w16.probe.jsonl,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/probes/v1locked2f_w16.probe.jsonl,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/real16_bitwise_bitwise.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/real16_bitwise_cmp/compare_report.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/real16_bitwise_cmp/compare_summary.md,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/real16_bitwise_verdict.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/resource_summaries/fix2f_w1.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/resource_summaries/fix2f_w16.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/resource_summaries/fix2f_w4.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/resource_summaries/real16_lock1_w16.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/resource_summaries/real16_w1.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/resource_summaries/real16_w16.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/resource_summaries/real16_w4.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
artifacts/acceptance/l2_performance/resource_summaries/real4_w16.json,aux,no,artifacts,production,0,,,,,PENDING,0,0,0,0,,,,,,,,,,,,
