ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M1a-A-001	A_SCI_DEF	P0	M1a	问题扫描/findings/A_SCI_DEF/p0/M1a_L01_L02.md	6	"SCI 前向 WCS 公式把像素域 SIP 加在天球域中间坐标上，量纲不闭合，且同节自称""与实现一致"""	":§5 连续定义（""前向 WCS (像素→天球)""代码块）；对照 lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp::solve_pix2world_iterative（""4. 牛顿迭代""块）与 tests/unit/p1wcs/p1wcs_oracle.hpp::oracle_wcs_forward 头注"	（ASTROMETRY.md:48）  (u,v) = CD · (xp−CRPIX) + SIP_A/B(u,v)   # (u,v) 为 TAN 投影中间坐标 / （ASTROMETRY.md:66）与 `lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp:13-16,153-164,274-420,530-576` 及 `ipv_select.cpp:695,712` 一致。 / （ipv_wcs.cpp:851-861）// 4. 牛顿迭代: 解 F(u) = u + A(u) = UV … const double fx = u + fu - uvx;  	SIP（Shupe 2005, 2005ASPC..347..491S）——畸变多项式在**像素域**修正后再经 CD 线性变换；SCI-WCS-001 §5/§5a；宪章 §12.3-3（公式唯一实现）、§12.3-15（单位/像素语义显式）、§13.1	OPEN	
M1a-A-002	A_SCI_DEF	P0	M1a	问题扫描/findings/A_SCI_DEF/p0/M1a_L01_L02.md	24	天测精度门只约束内部拟合 RMS 域；仓内唯一外部闭环实测超 ALG F1 门 1.8× 且判 PASS、无偏差登记	:11.4 冻结门 F1；docs/modules/registry/astrocs.phase1.wcs-platesolve.md::精度门行；docs/science/ASTROMETRY.md::§15 Acceptance；lib/plate_solve/memory.md::2026-07-27 P11-002 记录；lib/plate_solve/cpp/ipv/src/ipv_solver.cpp::cache_last_inliers_	（memory.md:51-52）- 工具独立性：完全独立于 PlateSolve internal transform（不导入 to_astropy_wcs，不读 wcs_result.cd/crval/crpix/sip_*） / - 仅用 astropy.wcs.WCS 从 / （memory.md:55-56）  - T3: PlateSolve RMS=0.151px(31pairs) vs 独立 median=0.897px(702 matched) — 5.9× 差距 /   - T2: PlateSolve RMS=0.108px(33pair / （memory.md:59	宪章 §12.3-4（claim↔evidence 一一对应）、§12.3-12、§13.2、§6.3（禁静默降级）；ALG-WCS-001 F1；SCI-WCS-001 §15	OPEN	
M1a-A-003	A_SCI_DEF	P0	M1a	问题扫描/findings/A_SCI_DEF/p0/M1a_L01_L02.md	42	CAR/AIT 投影丢失 Paper II fiducial 偏移（CRVAL2 不进映射）且 Y=−θ 手性与 CD 合成北南镜像	:car_pix2world / ::car_world2pix / ::ait_pix2world / ::ait_world2pix /::g1_build_cd；docs/algorithms/PHASE3_PROJ_IMPL.md::§15.2 天球惯例声明 与 ::§15.5 六要素表	（p3_projection.cpp:198）const double theta = -yd * kRad;   // θ = −Y / （p3_projection.cpp:201-204）ra_out = d->crval_ra_deg + phi * kDeg; … *dec_deg = theta * kDeg;      ← 无 CRVAL2 项 / （p3_projection.cpp:216-217）theta = dec_deg * kRad; … plane_to_pix(d, phi * kDeg, -theta * kDeg, x, y);   ← 同样不用 crval	astro-ph/0207413) **§2.2**：	OPEN	
M2a-A-1	A_SCI_DEF	P0	M2a	问题扫描/findings/A_SCI_DEF/p0/M2a_L04_L10.md	6	"SCI-DRZ-001 的 pixfrac 归一化与其自身""常数场流量守恒""不变量互斥：常数面亮度 B0 的输出为 B0/pixfrac²"	:§5 球面 drizzle 算法（权重/累加式）；docs/science/DRIZZLE.md::§7 物理不变量；docs/science/DRIZZLE.md::§11 验证 Oracle；docs/science/DRIZZLE.md::§2 符号表（pixfrac 行）；对照 lib/healpix_db/healpix_drizzle/drizzle_engine.cpp::processPixelSharedTiled（overlap_area/drop_area 段）、lib/astro_image_io/src/hips/aio_hips_writer.cpp::write_tile_core（sig = flux/area 段）、lib/healpix_db/healpix_drizzle/spherical_overlap.cpp::compute_drop_cor	（DRIZZLE.md:48-51）w_jp = a_jp / A_drop,j ｜ F_p = Σ_j x_j·w_jp ｜ D_p = Σ_j a_jp ｜ S_p = F_p / D_p ｜ sumVarNum += Σ_j v_j·w_jp² ｜ variance_p = / （DRIZZLE.md:82-84）每像素常量 ADU=C 时：S_p = Σ C·(a_jp/A_drop,j) / D_p = C/A_drop ≠ C——这是**正确的面亮度语义**（drizzle 输出为平均面亮度）…常数**面亮度** B0（ADU/sr）的 drop  / （DRIZZLE.md:11	SCI-DRZ-001 §2/§5/§7/§11（docs/science/DRIZZLE.md，FROZEN）；宪章 §4.1（signal/variance/support/coverage 不得混同）、§5.3（Drizzle 须验证能量/面亮度语义）、§7.3（面亮度与每像素通量传播规则必须由 SCI/ALG 明确）、§12.3-3（公式唯一实现）、§13.1（性质测试）；Fruchter & Hook 2002, PASP 114, 157（drizzle 输出为面亮度重采样，drop 面积归一后须与 pixfrac 无关）	OPEN	
M2b-A-01	A_SCI_DEF	P0	M2b	问题扫描/findings/A_SCI_DEF/p0/M2b_L03_L15.md	7	HiPS 写入口对 nside 零校验：非 2 的幂与 order>29 均被接受并静默产出错产品；lib/hips 的正确校验在生产调用点被绕过	lib/astro_image_io/src/hips/aio_hips_writer.cpp::aio_hips_product_begin（只比大小 + ilog2 向下取整） ；被绕过的正解：lib/hips/src/module_entry.cpp::hips_cfg_parse（require power-of-two + 上界） ；生产调用点 3 处：lib/core/src/module_adapters.cpp::p1_op_writer（write_hips 节点）、lib/core/src/module_adapters.cpp::p2_op_write（write_mosaic 节点）、lib/healpix_db/healpix_drizzle/astro_sphere_sink.cpp::写通道 begin；另 lib/phase2/tools/stage2.cp	"if (!out_dir || !*out_dir || nside < 512 || tile_width != 512 || / (data_type != AIO_HIPS_FLOAT32 && data_type != AIO_HIPS_FLOAT64) || / (flags & ~AIO_HIPS_PRODUCT_ALL_V20) != 0) { / set_error(""aio_hips_product_begin: 参数无效 (nside>=512, tile_width=512, dtype 0/1)""); / ps->leaf_order = ilog2_u64(nside"	DATA_SEMANTICS §2「非法值拒绝」+ §12.1「nside 恒为 2 的幂；非 2 次幂入参被拒绝」；Górski 2005 §5（Npix=12·Nside²，等面积网格前提）；宪章 §14.4（非法值 fail-fast、不得生成看似成功的产品）、§5.2/§6.2（HiPS 写出归 AIO、单一写出路径）、§12.2（注释与实现一致）	OPEN	
M2b-A-02	A_SCI_DEF	P0	M2b	问题扫描/findings/A_SCI_DEF/p0/M2b_L03_L15.md	51	tile 几何合同三源互斥：层级 tile NSIDE 卡（代码 2^(k+9) vs ALG 2^k vs IO_002 2^(K+9)）与 hips_order 入参域四层互斥，自产 hierarchy tile 不被自家输入合同接受	lib/astro_image_io/src/hips/aio_hips_writer.cpp::finalize_hierarchy（`nside_k = 1u << (k + 9)`）与 ::aio_hips_product_begin（`tile_width != 512` 即拒） ；算法侧：docs/algorithms/HIPS_WRITER.md::ALG-HIPS-004 (4c)（同一小节内同时出现 2^(k+9) 与 2^k） ；输入合同：docs/interfaces/io/IO_002_HIPS_INPUT_INTERFACE.md::§3.1 表 + ::§3.3 tile 头卡表 ；读侧执行：runtime/io/hips_core.c::hips_parse_properties（`h->nside = 1ULL << (order + 9u)`）与 ::hip	"const uint32_t nside_k = 1u << (k + 9); / cards.push_back({""NSIDE"", std::to_string(nside_k)}); / cards.push_back({""FIRSTPIX"", ""0""}); / cards.push_back({""LASTPIX"", std::to_string(n - 1)}); / (4c) 落盘：finalize 时对每阶 k<T（:797-880）：nside_k=2^(k+9)、A_cell_k=4π/(12·nside_k²)（:800-801）… / 约定。FITS cards ORDER"	https://www.ivoa.net/documents/HiPS/20170519/REC-HIPS-1.0-20170519.pdf）；DATA_SEMANTICS §2；宪章 §12.2（文档=代码）	OPEN	
M3-A-001	A_SCI_DEF	P0	M3	问题扫描/findings/A_SCI_DEF/p0/M3_L05_L07.md	9	SNR 无唯一定义：进入生产权重的「SNR」实为已退休的 PSF 拟合质量比	:§9a（SNR 构成条款）`（复核时点 :98） ；`lib/snr_estimator/cpp/src/snr_estimator.cpp::snr_extract_model / _f64 / _v3（三处同名变量 s）`（复核时点 :544、:663、:768） ；`lib/snr_estimator/cpp/include/snr_estimator.h::SnrControlPoint.snr_psf / SnrControlPointF64.snr_psf`（复核时点 :288、:300） ；`lib/snr_estimator/cpp/include/snr_estimator.h::SnrModel.snr_phot`（复核时点 :381） ；`lib/healpix_db/healpix_drizzle/drizzle_engine.cpp::float snr_val	- **SNR**：本合同不产出 SNR 图；SNR 由消费侧以 `signal/√variance` 构成，本层唯一产出为 `variance/ivar`。（NOISE_MODEL.md:98） / double s = (A - B) / residual_scale; // 旧 (A-B)/mad legacy 口径, 数值不变（snr_estimator.cpp:544，另 :663/:768 同式） / float  snr_psf;  // legacy (A-B)/mad 控制点值 (列 7 实为 residual_scale; SNR-008 已退休路径)（snr_estima	宪章 §4.1（`snr` 必须是由 SCI-NOISE/SCI-SNR 定义的信噪比，不得是任意质量分；支持度/覆盖率不得充当科学权重）、§1.1（层间不一致必须建 finding）、§12.3-10（活动文档不得以历史状态冒充当前状态）；SCI-NOISE-001 §9a/§10；SCI-CW-001 §2/§4；SCI-PSF §1/§8（q_psf 非 SNR）	OPEN	FIXED
M3-A-002	A_SCI_DEF	P0	M3	问题扫描/findings/A_SCI_DEF/p0/M3_L05_L07.md	44	SCI-CW 把 `weight_mode=2` 像素权重定义为 `support × snr²`，与实现、另两份冻结合同及其自身条款互斥	:§4 连续定义（代码块首行注释与权重式）`（复核时点 :38、:42；符号表 :27 `w_snr`） ；`lib/phase2/tools/stage2.cpp::weight 分支（两处）`（复核时点 :1106-1140、:1359-1400；关键语句 `weights[s] = support_v[s] * snr_v * snr_v;` 在 :1136 与 :1396；`weights[s] = support_v[s];` 在 :1115 与 :1374；ivar 分支注释 `// ivar 产品 (weight_mode=2 默认)` 在 :549） ；`lib/phase2/src/stage2_common.cpp::weight_mode 解析`（复核时点 :373-390；`cfg->weight_mode = 2; // 默认 ivar` :378；错误串 `we	# 像素级 SNR 权重（stage2 排异/积分，weight_mode=2）（SCI-CW:38） / weights[s] = support[s] × snr_v²                      # 禁止 snr=1.0 伪装 unknown（SCI-CW:42） / | `w_snr` | SNR 权重因子 `= snr_v²` | 积分/排异权重 |（SCI-CW:27） / - **与 SCI-NOISE 区隔**：`variance/ivar` 为逐像素随机噪声权重；`local_snr/frame_snr` 为区域/帧级 SNR 倍率权重；二者**不混用**。（S	宪章 §6.3（UPM 只允许加法；梯度模型权重与最终叠加权重严格分离；`support/coverage` 不能作为 ivar 或 SNR 权重）、§4.1（支持度/覆盖率不是科学权重）、§1.1（两份权威文本不一致时必须建 finding，不得选方便一层）、§12.3-1/-10；SCI-UPM-WEIGHT-001（FROZEN）；SCI-CW-001（FROZEN）；SCI-ACR-EQUIV §wmode；DATA-HIPS-IVAR-001	OPEN	
M3b-A-01	A_SCI_DEF	P0	M3b	问题扫描/findings/A_SCI_DEF/p0/M3b_L06.md	5	生产检测拟合内核实为椭圆高斯，SCI 冻结基线却写 Moffat4 且禁止高斯主路径	:§1(:12-14)/§3(:41-42)；docs/algorithms/STAR_DETECTION_ALGORITHMS.md::§2(:60-64,:106)；docs/contracts/DATA_SEMANTICS.md::§17.2(:668)；lib/star_detector/src/sdet_api.cpp::sdet_gaussian_f(:95)/::sdet_gaussian_df(:136)/::sdet_lm_fit(:352-353)/::sdet_moffat4_fit(:484→:591)/::阶段6(:2150,:2171,:2184)/::fwhm=TWO_SQRT_2_LOG2(:47,:389-390)；lib/dynamic_psf/src/dpsf_psf.cpp::MOFFAT4_FWHM_FACTOR(:25)；lib/star_det	- 基线算法=peaker 七步候选 + Moffat4 GSL trust-region LM 拟合（sdet_detect_impl 生产路径） / // f[k] = B + A*exp(-(tmpx²/SX + tmpy²/SY)) - y[k] / static int sdet_gaussian_f(...) / (...)`、:591 该函数体实调 `sdet_lm_fit`，后者 :352-353 `fdf.f = &sdet_gaussian_f; fdf.df = &sdet_gaussian_df;` / - 引入未文档的高斯	94）；宪章 §12.3（结构一致≠科学正确）、§17.1（SCI 冻结无冲突）	OPEN	
M3b-A-02	A_SCI_DEF	P0	M3b	问题扫描/findings/A_SCI_DEF/p0/M3b_L06.md	25	star_det flux 列实为峰值振幅/m00 两链不同量，合同却以流量名义登记	:StarRecord.flux(:238)/::rec.flux(:2268)/::旧路径(:1501,:1564)；lib/star_detector/include/star_detector.h::sdet_detect_ex(_f64) out_flux(:51,:60)；lib/orchestrator/cpp/src/orchestrator.cpp::star_det 装配(:2325 起)/::star_measurements(:2505)；lib/core/src/module_adapters.cpp::p1_op_star_psf(:1468 s.flux)；lib/phase1/stars/star_detector.cpp::s.flux=m00(:117)；docs/contracts/DATA_SEMANTICS.md::§17.2(:667-669)/§	| flux | float `[n]` | ADU（正常星=Moffat4 振幅 A，非解析积分流量） | 饱和星拟合失败=0.0f 哨兵 | / rec.flux = (float)fit_results[i].A; / P1STAR_CHECK(cs, std::fabs((double)d.flux[i] - 90000.0) / 90000.0 <= 0.01,	113「所有 DATA 合同必须写明单位、坐标系、像素语义」）、§5.3（单位与误差传播必须明确）；DATA-P1-STAR §17.2；DATA-P1-PSF §15.2（flux=2πAsxSy/3）	OPEN	
