ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M1a-C-001	C_DOC_CODE_GAP	P0	M1a	问题扫描/findings/C_DOC_CODE_GAP/p0/M1a_L01_L02.md	3	"SIP 逆向冻结口径三方割裂（SCI/ALG 说 7×7、代码是 41×41 阶5 + 81×81 阶7）；SCI 冻结 1e-4 px 门在生产导出的 36 项一步逆上自证""数学不可达""，验收门实际钉在不可导出的迭代/APx 路径上"	":§5（自述）与::§7 不变量与::§9 实测口径、::§11 验收门；docs/algorithms/PLATESOLVE.md::4 与::符号表；lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp::extract_wcs_sip（""5.3""/""5.4""）与::solve_pix2world_iterative；tests/unit/p1wcs/p1wcs_tests_apbp.cpp::冻结门段；tests/unit/p1wcs/p1wcs_std_f1_bridge_cross.py::§2"	（ASTROMETRY.md:57）AP/BP computed by least-squares inversion of forward SIP residuals **on 7×7 grid** (NB_GRID=7) / （ASTROMETRY.md:125）| `AP/BP` 逆向拟合 | `NB_GRID=7`（7×7 网格最小二乘反演）… / （ASTROMETRY.md §15:172）… **§11 Oracle 全过**（astropy 第三方交叉 `<1e-4 px`、往返 `<1e-6 px`）… / （ipv_wcs.cpp:402-403 / :526-527）co	宪章 §12.3-3（公式唯一实现）、§12.3-4（claim↔evidence）、§13.1、§17.1；SIP（Shupe 2005）AP/BP 为 A/B 的逐级反演；SCI-WCS-001 §7/§9/§11	OPEN	
M1a-C-002	C_DOC_CODE_GAP	P0	M1a	问题扫描/findings/C_DOC_CODE_GAP/p0/M1a_L01_L02.md	29	"trans 线性奇异：SCI 承诺""返回参数错误""，实现仅 warn 并恒设 success=true，可回写冒称 TAN-SIP 的退化头"	:§8 退化与错误语义表（奇异 trans 行）；docs/algorithms/PLATESOLVE.md::§11.1（DISP-WCS-001/004 两条）；lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp::extract_wcs_sip；lib/orchestrator/cpp/src/orchestrator.cpp::run_stage_platesolve（success 门与头写回）；tests/unit/p1wcs/p1wcs_tests_negative.cpp::child_collinear	"（ASTROMETRY.md:118）| trans 线性奇异（共线/退化配置） | **拒 SIP 推导，返回参数错误** | ipv_wcs.cpp:322 inv_det | / （PLATESOLVE.md:160-162）失败-置信度语义契约：**CD det 退化必须视为求解失败（success=0），禁止以 CRPIX 坍缩值冒充解**——本语义由 P1-WCS-IMPL 落地… / （ipv_wcs.cpp:340-343）if (std::abs(det_lin) < 1e-15) { logger->warn(""…SIP 推导跳过（退化）""); } else { … 前向 "	宪章 §6.3（禁静默降级）、§14.4（fail-fast）、§12.3-4；SCI-WCS-001 §8；ALG-WCS-001 §11.1	FIXED	FIXED
M1a-C-003	C_DOC_CODE_GAP	P0	M1a	问题扫描/findings/C_DOC_CODE_GAP/p0/M1a_L01_L02.md	47	"p1_op_wcs 自检以 0-based 数组下标喂 1-based 契约的 WcsTan；两条门与""独立参考解""共用同一原点 ⇒ 对原点平移零判别力；发布工件 p1_wcs.json 的 samples 无像素原点声明"	:p1_op_wcs（显式配置分支自检环 + 求解分支自检环）与::p1_tan_forward_reference；lib/phase1/wcs/wcs_tan.h::WcsTan::crpix1 与::合同行；lib/phase1/wcs/wcs_tan.cpp::WcsTan::pix2sky	（wcs_tan.h:11）double crpix1, crpix2;   // 参考像素 (**1-based**) / （wcs_tan.h:2）合同: 已知 WCS 参数往返误差 **< 1e-6 deg** / （wcs_tan.cpp:9-10）double dx = x - crpix1, dy = y - crpix2; / （module_adapters.cpp:1785-1787）for (int y = 0; y < H; y += step) { for (int x = 0; x < W; x += step) { pts.emplace_back(x, y); …	137；宪章 §12.3-15（像素语义显式）、§12.3-4	OPEN	
M1a-C-004	C_DOC_CODE_GAP	P0	M1a	问题扫描/findings/C_DOC_CODE_GAP/p0/M1a_L01_L02.md	67	"alpha 适用 FOV ≤ 20° 为冻结约束但全仓零强制点；三处合同对""是否硬门""互斥；超限/半球外像素静默留 NaN 仍计数发布"	:§9a-12 与::§15；docs/standards/STANDARDS_REGISTRY.md::DISP-WCS-001/偏差表；docs/algorithms/PHASE3_PROJ_IMPL.md::§13（非硬门表述）；lib/phase3_session/p3_wcs.cpp::p3_wcs_validate_descriptor / ::p3_wcs_pix2world；lib/core/src/module_adapters.cpp::p3_op_resample（worker）	"（SCI-P3 §9a-12:109）…**alpha 适用 FOV ≤20°** 冻结（中心距极点 ≥5°）；容差：WCS roundtrip 1e-6 px… / （SCI-P3 §15:115）本条款集合为 alpha 适用上限，放宽须修订本文件；**产品实现不得自行放宽**（§15 收窄不扩大） / （p3_wcs.cpp:46-64）validate：仅校 CRPIX 有限、CD 非奇异、`proj != ""TAN""` 拒绝、`|dec|>85` 拒绝（**无 FOV/尺寸/s_out 联合上限**） / （PHASE3_PROJ_IMPL.md:382-384）… registry"	宪章 §7.3（逐投影须声明合法 FOV/奇点/方向，禁静默 fallback）、§12.3-13、§6.3、§17.1；SCI-P3-001 §9a-12/§15	OPEN	
M2a-C-1	C_DOC_CODE_GAP	P0	M2a	问题扫描/findings/C_DOC_CODE_GAP/p0/M2a_L04_L10.md	5	"DLL 通道把 out_match_idx 截断为 matched_count 个元素，破坏""坐标序 + −1 表示未匹配""合同；部分未命中时行↔坐标映射不可恢复"	":§8.2 输出行 out_match_idx 行 + shape 契约段；lib/gaia_xpsd_client/src/module_entry.c::build_result_json（match_idx 编码与 \""count\"" 输出段）；lib/gaia_xpsd_client/src/gaia_client.c::gaia_client_query_spectrum_by_coords（match_idx 分配/回填段）；tests/unit/gaia_adapter_test.c::D5；tests/unit/gaia_integration_test.c::by_coords 段"	（DATA_SEMANTICS.md:113）| out_match_idx | int32 | **坐标序** | **−1 = 该坐标未匹配** | / （DATA_SEMANTICS.md:117-119）shape 契约：`out_stars` 为 `out_count` 行连续数组（C ABI 顶层 malloc，调用方 free）；`out_spectra` 为 `out_count × global_spec_count / （gaia_client.c:2293-2326 区段）int *match_idx = (int *)calloc(n_coords, sizeof(in	DATA-GAIA-001（docs/contracts/DATA_SEMANTICS.md §8.2 冻结输出行）；宪章 §4.3（产品结构与语义须记录一致）、§12.3-1/-5（合同↔实现↔schema 一致）、§7.3（不支持/降级语义须显式，不得静默改写）	FIXED	FIXED
M2b-C-01	C_DOC_CODE_GAP	P0	M2b	问题扫描/findings/C_DOC_CODE_GAP/p0/M2b_L03_L15.md	5	【部分修复】HiPS 生产写出仍为直写（无 staging/rename/fsync/COMPLETE），AIO 树内其它子系统已用原子原语而 HiPS writer 未采用；module_adapters 两处调用点注释仍称「AIO-00	:write_fits_image、::write_moc_fits、::make_dirs、::finalize_image_product、::aio_hips_finalize 的 manifest 段、::aio_hips_abort；lib/core/src/module_adapters.cpp::p1_op_writer（write_hips 节点）与 ::p2_op_write（write_mosaic 节点）头注释、::文件头节点地图注释；docs/contracts/DATA_SEMANTICS.md::DATA-P1-HIPS §12.5；docs/standards/STANDARDS_REGISTRY.md::D.hips 偏差表 DISP-HIPS-004；docs/algorithms/HIPS_WRITER.md::§10 DISP 表 DISP-HIPS-	2000 字符截断）: / std::remove(path_n.c_str()); / if (fits_create_file(&fptr, path_n.c_str(), &status)) {	宪章 §11（临时工作区 + 原子提交，不得留半产品）、§14.4（不可恢复失败不得生成看似成功的产品）、§12.2（注释与实现一致）、§5.2/§6.2（HiPS 原子提交属 AIO 固有面）；DATA_SEMANTICS §12.5（同一事实的权威口径 + 明令禁冒认）；STANDARDS_REGISTRY §1.2（禁按实现反推标准）	OPEN	
M3-C-001	C_DOC_CODE_GAP	P0	M3	问题扫描/findings/C_DOC_CODE_GAP/p0/M3_L05_L07.md	7	SCI-PHOT 冻结的参考星数门（`|r_consistent|>=3`/`|r_inliers|>=2`）在实现中不存在：一颗星即可定标整帧	:§4 输入有效域（参考星数条）`（复核时点 :38）、`§8 极端/退化条件表`（:82）、`§5 定义`（:52/:60）、`§15 Acceptance`（:132-133） ；`lib/photometric_calib/cpp/src/star_matcher.cpp::cleanAndScale`（一致集判据 `if (r_consistent.empty())` 复核时点 :462，退化早返回 :474；`if (!r_inliers.empty())` :553）	- 参考星数 `|r_consistent|>=3` 才进 IRLS，否则 `NO_DATA`；`|r_inliers|>=2` 才估计 `sigma_residual`，否则 `sigma_residual=0`（`552-559`）。（SCI-PHOT §4:38） / | 无星/星数不足 | 返回 NO_DATA，`scale=1.0`、`fit_used=0` | `star_matcher.cpp:478` 前校验（星数阈先于任何迭代） |（SCI-PHOT §8:82） / if (r_consistent.empty()) {（star_matcher.cpp:462） / do	SCI-PHOT-001 §4/§5/§8/§15；宪章 §4.1（有效域与值域分离）、§5.3、§11（不得留下看似成功的产品）、§14.4（禁静默降级）、§1.1	FIXED	FIXED
M3-C-002	C_DOC_CODE_GAP	P0	M3	问题扫描/findings/C_DOC_CODE_GAP/p0/M3_L05_L07.md	31	SCI-PHOT 的饱和/质量标志判据在接口与实现中都不存在，饱和星可进零点拟合	:§4 输入有效域（饱和星条）`（复核时点 :37）、`§6 假设`（:69）、`§10 不可接受变化`（:103）、`§8` ；`lib/photometric_calib/cpp/src/star_matcher.cpp::matchWithKdTree`（唯一过滤语句 `if (psf_status[i] == 0) {` 复核时点 :236） ；`lib/photometric_calib/cpp/include/photometric_calib.h`（六个 `pc_calibrate_*` 导出签名，复核时点 :106-120 等——**无 quality_flags 入参**） ；`lib/snr_estimator/cpp/src/noise_model.cpp::snr_psf_fit_quality`（:312-315，证明「status==0 且含饱和标志」是真实状态	- 每颗星 `F_instr>0, F_syn>0` 有限值；饱和星（`psf_status!=0` 或 `qf & (SATURATED|HAS_SATURATED)!=0`）不进入匹配与定标，计 `rejected_quality`（`star_matcher.cpp:35- / if (psf_status[i] == 0) {（star_matcher.cpp:236 —— 唯一过滤条件） / - 忽略饱和/质量标志使饱和星进入定标。（SCI-PHOT §10:103，列为不可接受变化） / #define DPSF_PSF_STATUS_OK  0 / FIT_FAILED 1 / 	SCI-PHOT-001 §4/§6/§10；宪章 §4.1（validity 独立于 value）、§5.3（未合同化的静默剔除禁止 → 反向亦禁止「该剔除而未剔除」）；DATA_SEMANTICS（psf_status 与 quality_flags 分列）	PARTIAL	VERIFIED
M3-C-003	C_DOC_CODE_GAP	P0	M3	问题扫描/findings/C_DOC_CODE_GAP/p0/M3_L05_L07.md	59	冻结 SCI 的 `min_samples` 默认 5 与实现 64 相差 12.8 倍，ALG 径行「不改 SCI，以代码为准」= 权威层级倒置	:§4 输入有效域`（复核时点 :37）、`§5 连续定义`（:48） ；`lib/snr_estimator/cpp/src/noise_model.cpp::snr_noise_model_v1_default_config`（:341 `cfg->min_patch_samples = 64;`）、`collect_patch_sky`（:90 `if ((int)out_samples.size() < min_samples) return false;`）、参数钳位（:166-170） ；`lib/snr_estimator/cpp/include/snr_estimator.h::SnrNoiseModelConfig.min_patch_samples`（:112 注释「默认 64」） ；`docs/algorithms/NOISE_ESTIMATION.md::§13.2	"- 维度 ……；`min_samples`（patch 样本数阈）默认 **5**；…（SCI-NOISE §4:37） / 控制点: 合格 patch（样本数 ≥ min_samples）的 patch variance（SCI §5:48） / cfg->min_patch_samples = 64;（noise_model.cpp:341） / - `min_patch_samples` 默认 **64**（snr_estimator.h:112、default_config :333），SCI §4 ""min_samples 默认 5"" 为旧稿数字——**不改 SCI**，以代码为准登"	宪章 §1.1（SCI > ALG > 代码；两层不一致时必须修低层或申请改高层，**不得选方便的一层**）、§1.2（SCI 变更仅在负责人）、§12.3-10；SCI-NOISE-001 §4/§5/§8/§10	OPEN	
M3b-C-01	C_DOC_CODE_GAP	P0	M3b	问题扫描/findings/C_DOC_CODE_GAP/p0/M3b_L06.md	3	生产 PSF 质心 ~0.5px 系统性偏差：已知未闭合的 BLOCKER 只活在归档层，规范层反宣称「无 0.5px 量化损失」	docs/archive/history/memory_V18R2-V19_operational_log_2026-08-21.md:2038-2040/:2051（文件头 :1 ARCHIVED_NON_NORMATIVE）；规范沉默:docs/KNOWN_LIMITATIONS.md 与 docs/owner/RELEASE_STATUS.md 对 PSF/质心/0.5 零命中（前台 grep 实测+M3b 复测均为 0 命中）；真源 oracle:lib/photometric_calib/cpp/test/gate4_dr3sp_gaiaxpy/gate2_psf_oracle.py::冻结门注释(:8)/::门定义(:296-299)/::blocker 字面量(:308-313)/::生产路径 offset(:248-252)/::converged 对照(:271)；evi	- **E PSF Oracle**: Photutils 对照 PASS (收敛初始化 0.004px); **BLOCKER PSF-001**: DPSF 以 sdet 像素中心坐标为初始时 LM 收敛到整数 (~0.5px 偏差); 最小复现已记录, 按修改预算不改冻结  / 冻结门 (Phase1 签字微修正): 质心误差 <= 0.01 目标像素	113 DATA 合同须写明像素语义）/§5.3；SCI-P1-STAR-001 §1/§2、SCI-PSF-001 §3a；DATA-P1-STAR §17.2、DATA-P1-PSF §15.2/15.3；GLOSSARY pixel_coordinate	OPEN	
