ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
M3b-G-01	G_GOV_GATE	P0	M3b	问题扫描/findings/G_GOV_GATE/p0/M3b_L06.md	3	未闭合 BLOCKER（PSF-001 ~0.5px）只活在归档文档：规范限制层零提及、偏差登记层零条目、门禁层零登记	1/:2038-2040/:2051；docs/KNOWN_LIMITATIONS.md（PSF/质心/0.5 零命中）；docs/owner/RELEASE_STATUS.md（同零命中）；偏差登记面：docs/algorithms/STAR_PSF_ALGORITHMS.md::§11.3(:178-187 DISP-PSF-001..006 无一条覆盖质心偏差)；docs/science/STAR_DETECTION.md::§3:45（「现状缺陷不隐瞒（DISP-STAR-001..005 显式登记）」）；lib/photometric_calib/cpp/test/gate4_dr3sp_gaiaxpy/gate2_psf_oracle.py:308-313（blocker 字面量只活在测试脚本内）；ci/checks.json（gate2 脚本零登记）	**未完成 (如实)** / - 最终完整 FP32 未运行 (PSF-001 BLOCKER 未闭合) / 现状缺陷不隐瞒（DISP-STAR-001..005 显式登记…） / 现状缺陷登记 DISP-PSF-001..006（STAR_PSF_ALGORITHMS §11.3…） / 影响: 生产路径 PSF 质心系统性 ~0.5px 偏差. 按修改预算作为 BLOCKER 记录, 不在此包修改冻结的 PSF 数学 (需单独 BLOCKER 修复周期 + 模块回归).	宪章 §1.1（历史文档=第 8 层「仅作线索」，不具规范效力；两层不一致必须建 finding）；§17.1（发布候选要求「SCI/ALG 已冻结且无冲突」）、§17.9-17.10（量化证据；P0/P1 为零）；§12.3-12	OPEN	
M5a-G-001	G_GOV_GATE	P0	M5a	问题扫描/findings/G_GOV_GATE/p0/M5a_L11_L17.md	5	生产利用率门沿用 §18.2 已废止的 80%/75%/50%，宪章冻结的 85%/60% 无实现	:compute_cores_threshold`（现 :181-186，0.80 系数在 :185） ；`cli/resource_gate.h::kMon001UtilSampleMinPercent / kMon001QueueUtilMinPercent`（:104-107，全仓仅定义行） ；`cli/resource_gate.h::GateConfig::active_window_seconds` 上方注释（:153） ；`cli/commands.cpp::run_with_resource_gate`（:909 `>= 0.75`、:912 `< 0.50` 字面量） ；`tests/unit/p2_workers_test.cpp::main`（:85） ；反面对照：`tools/monitoring/run_monitored.py::FROZEN_GATE_*`（:	return (m >= 1 ? 0.80 * static_cast<double>(m) : 0.0); / // 注意: 阈值(85%/60%/32MB/s/10s)与判定式不动, 只加窗口/样本量前置。 / inline constexpr double kMon001UtilSampleMinPercent = 75.0;   // 单样本 >=0.75 / inline constexpr double kMon001QueueUtilMinPercent = 50.0;    // 窗口内利用率下限 0.50 / FROZEN_GATE_MIN_AVG_UTILIZATION =	「本裁决替代旧 `AstroCS_ENGINEERING_CONSTRAINTS.md` D.6 的 80%/75%/50% 表述」；§17.6	FIXED	FIXED
M5a-G-002	G_GOV_GATE	P0	M5a	问题扫描/findings/G_GOV_GATE/p0/M5a_L11_L17.md	31	CPU 利用率门的分母是 1 核：85%/90% 实为 0.85/0.90 核下限，四处注释自述相反口径	:ResourceRecorder::record`（:101 采集式）与文件头口径声明（:5、`ResRecord::cpu_pct` :38） ；`cli/resource_gate.h::GateConfig::cpu_p50_percent`（:145-146 注释）、`::utilization_value`（:286-294 另一套分母）、`::evaluate_gate` CPU p50/mean 判定（:246-249）、`::kMon001UtilSampleMinPercent` 上方注释（:102-103）与 :281-285 段落 ；`cli/resource_recorder.h::ResourceRecorder::write_all`（:242-243 写进运行工件的自证字段） ；`cli/monitor.h::ProcessMonitor::Summary`	"r.cpu_pct = interval_ > 0 ? (s.d_cpu_seconds / interval_) * 100.0 : 0.0; / // Windows/Linux 统一 ""100%=全部分配核用满"" normalized 口径。 / double cpu_p50_percent = -1.0;    // CPU p50%(normalized: 100%=全部分配核) / return m >= 1 ? cpu_pct / (100.0 * static_cast<double>(m)) : 0.0; / if (g.cpu_mean_percent >= 0.0 && "	宪章 §10.5（平均利用率不低于**已分配容量**的 85%）+ §18.2 同句；ARCH-LOG-MONITOR-002 / `docs/architecture/observability/RESOURCE_MONITORING_CONTRACT.md` 字段口径	FIXED	FIXED
M5a-G-003	G_GOV_GATE	P0	M5a	问题扫描/findings/G_GOV_GATE/p0/M5a_L11_L17.md	62	唯一逐字实现 §10.5 的门禁零应用点，L0 口径却称「缺失即 fail-closed」	:evaluate_frozen_gate`（常量 :451-456；函数 :459-602；CLI 旗标 :681,714-726） ；`ci/checks.json`（111 项注册检查全文）；`ci/run.py::monitor_gate_requested` / `monitor_gate_evidence_gap`（:70-77、:109-127） ；`ci/tests/test_ci001_failclosed.py`（:128-152）；`ci/tests/test_windows_ci.py`（:81-82） ；`docs/owner/RELEASE_STATUS.md::§5 发布 Gate 口径`（:108-110）；`docs/architecture/MODULE_MAP.md::监控与资源门`（:41）；`docs/owner/PIPELINE_OVERVIEW	# F-CI-002-04/06（owner 裁决原则一致化应用, 2026-09-11）：资源门冻结语义 / # （§10.5/§18.2）针对重计算区间——构建/打包/单测为非重计算面，CI 注册表 / # 当前零 --gate-required（WIN-* 另按裁决 requires_monitor=false）；本判定 / | 监控与资源门 | `tools/monitoring` | IMPLEMENTED | 冻结阈值判定（§10.5/§1	宪章 §10.5/§18.2、§17.6、§12.3-12（L0 结论可追溯到当前 SHA 的机器证据）、§12.1	OPEN	
M5a-G-005	G_GOV_GATE	P0	M5a	问题扫描/findings/G_GOV_GATE/p0/M5a_L11_L17.md	88	THREAD-BUDGET 机器门空转：扫描面、正则与行级豁免三重漏检并被单测固化	:SCAN_ROOTS`（:6）、`::EXEMPT`（:7-11）、`::PATTERNS`（:69-75）、`::scan` 行级豁免（:92-94）、`::main` 输出串（:118） ；`ci/checks.json::THREAD-BUDGET`（:555-576，`changed_paths` = `lib/**`、`include/**`） ；`tests/arch/test_thread_budget.py::test_01_real_repo_passes`（:11-16） ；不可见实例（真源且在根构建内）：`lib/core/src/executor.cpp`（:39、:217）、`lib/core/src/scheduler.cpp`（:310）、`lib/phase2/src/sampler.cpp`（:890）、`lib/phase2/src/upm.cpp`（	"SCAN_ROOTS = [os.path.join(REPO, ""lib"")] / ""std::thread"": re.compile(r""std::thread\s*\(|std::thread\s+\w+""), / row_exempt = is_exempt or ""watchdog"" in line / self.assertIn(""未登记线程创建=0 硬编码线程数=0"", r.stdout)"	宪章 §10.4（一个进程一个线程预算源；不得硬编码 workers；不得建不受 Runtime 管理的长期私有线程池）、§12.3-1、§17.6；ARCH-THREAD-001 §5-1/§5-3（未登记即 FAIL）	OPEN	
M5b-G-01	G_GOV_GATE	P0	M5b	问题扫描/findings/G_GOV_GATE/p0/M5b_L12_L17.md	9	CLI 命令树与协议门禁全部打在 COMPATIBILITY 二进制上；二进制缺失时门静默零检查	:（cli 子图构建步）`（现 :21-25）——`cmake -S cli -B build/cli` + `cmake --build build/cli --target astrocs` ；`tools/check_api_docs.py::Checker.check_command_tree`（现 :132-142） ；`tests/cli/test_cli_protocol.py::EXE`（现 :7-8）与 `::built`（现 :46-50） ；`cli/CMakeLists.txt::（文件头 COMPATIBILITY 声明 + add_executable(astrocs)）`（现 :1-8、:121）；`cli/CMakeLists.txt::（AIO 源集）`（现 :164-165） ；`CMakeLists.txt::astrocs`（现 :328、:588-	"exe = os.path.join(self.repo, ""build"", ""cli"", ""astrocs"") / if os.path.isfile(exe): / missing = sorted(c for c in doc_cmds if c not in help_cmds) / （该 if 之后无 else；文件不存在时不产生任何 failure） / mkdir -p build/cli && cmake -S cli -B build/cli -DCMAKE_BUILD_TYPE=Release / timeout 2400 cmake --build build/cli -"	:§7 LEG-003`（现 :80）「aio_pipeline_engine 内置 5-stage 调度 + omp16 | I/O 越权编排 (P1-003) | LEG-003」	OPEN	
M5b-G-02	G_GOV_GATE	P0	M5b	问题扫描/findings/G_GOV_GATE/p0/M5b_L12_L17.md	40	追溯门 fail-open：`tools/quality/check_traceability.py` 无条件 return 0；TRACEABILITY-CODE 默认读预发布快照	:main`（现 :142-159，`return 0` 在 :159） ；`tools/check_traceability.py::DEFAULT_TABLES`（现 :16）与 `::main`（现 :110） ；`ci/checks.json::TRACEABILITY`（现 :36-62）、`::TRACEABILITY-CODE`（现 :63-87）、`::TRACEABILITY-MATRIX`（现 :1103-1126） ；`docs/traceability/TRACEABILITY_SPEC.md::检查器`（现 :23-24）；`docs/DOCUMENT_INDEX.yaml::docs/TRACEABILITY.csv`（现 :68-69）	"print(f""traceability: rows={len(trace)} ok={rows_ok} broken={len(broken)} "" / f""symbols={sym_ok}/{len(symbols)}"") / return 0 / DEFAULT_TABLES = [os.path.join(REPO, ""artifacts"", ""prerelease_v5"", ""tables"", ""TRACEABILITY.csv"")] / tables = sys.argv[1:] or DEFAULT_TABLES"	23-24`（SPEC 指定正式检查器并规定「任何断链…以非 0 退出」）	OPEN	
M5b-G-03	G_GOV_GATE	P0	M5b	问题扫描/findings/G_GOV_GATE/p0/M5b_L12_L17.md	63	AST-API 门为同一头文件自反比对（恒真），参数数提取后弃用，且不读任何 API 文档	:main`（现 :40-68）；`ci/checks.json::AST-API`（现 :577-598）；`tools/quality/gen_module_readmes.py`（现 :3）；`docs/contracts/TEST_MATRIX.md`（现 :62）	"HEADERS = [ / ""include/astrocs/core/contracts.h"", / ""include/astrocs/core/artifact.h"", / ""include/astrocs/io/io_adapter.h"", / decls = re.findall(r""\b([a-zA-Z_]\w*)\s*\(([^)]*)\)\s*(?:const)?\s*;"", txt) / if name not in ast_names: / print(f""DOC-004_PASS: {len(HEADERS)} 头 AST public 符号与声明一致 (参数/cv/noe"	宪章 §12.3-5「AST 提取的函数名、参数、类型、可见性与 **API 文档**一致」；`docs/standards/API_STANDARD.md`	OPEN	
M5b-G-04	G_GOV_GATE	P0	M5b	问题扫描/findings/G_GOV_GATE/p0/M5b_L12_L17.md	84	版本单源簇：交付清单/安装树合同/依赖锁/schema 并存 4 份手工版本副本，两道版本门的扫描面都不覆盖它们	:product_version`（现 :3，0.11.0-alpha.1） ；`packaging/install-tree.contract.json::target_version`（现 :5）与 `::root_layout`（现 :6，字面含 `AstroCS-0.11.0-alpha.1-win-x64/`） ；`packaging/dependency-lock.json::target_version`（现 :5） ；`packaging/schemas/install-tree-contract.schema.json::properties.target_version.const`（现 :12） ；`packaging/schemas/astrocs-product.schema.json::properties.product_version.pattern`（现 	"""product_version"": ""0.11.0-alpha.1"", / ""target_version"": { ""const"": ""0.11.0-alpha.1"" }, / ""product_version"": { ""type"": ""string"", ""pattern"": ""^0\\.11\\.0-alpha\\.1"" }, / ""command"": [""python3"", ""ci/check_version.py"", ""--expected"", ""0.11.0-alpha.2""] / module_version: 0.11.0-alpha.1 / ""module_version"", "	宪章 §16.1「根 `VERSION` 是产品版本唯一输入；CMake、CLI、产品 manifest 和活动顶层文档由机器生成或检查一致；module version、ABI version、schema version 不与产品版本混用」、§16.2、§12.3-1/-10、§17-11；GOV-003 `docs/governance/VERSION_NAMESPACES.md` §1/§3	OPEN	
M5b-G-05	G_GOV_GATE	P0	M5b	问题扫描/findings/G_GOV_GATE/p0/M5b_L12_L17.md	115	CON-BUILD-GRAPH 只做子串存在性检查：订正 BUILD_GRAPH.md 反而变红，产品构建面无任何机器校验	:main`（现 :18-46）；`docs/architecture/BUILD_GRAPH.md::§1 顶层 targets`（现 :5-17）；`CMakeLists.txt::add_executable(astrocs)`（现 :588）；`cmake/install_layout.cmake::（install 白名单）`（现 :133-136）；`ci/checks.json::CON-BUILD-GRAPH`（现 :746-770）	"for tgt in [""phase2"",""astrocs-stage2"",""calibrated_pair_diag"",""rejection_cli""]: / if tgt not in text: / findings.append({""id"":""BUILD-MISSING-TARGET"", ... / status=""FAIL"" / cmake = repo / ""lib/phase2/CMakeLists.txt"" / | astrocs-stage2 | EXEC | tools/stage2.cpp | lib/phase2/CMakeLists.txt |"	宪章 §12.3-1（构建 target 与产品清单一致）、§12.3-9（无悬空引用）、§14.2、§14.3-2（不得保留第二套架构表述）；`cmake/install_layout.cmake` 自述「唯一 install 规则源」	OPEN	
