ID	原类别	原优先级	producer	文件	行	标题	旧位置字段	旧证据字段	旧条款字段	fix_state	verified_state
L28b-D-004	D_COMMENT	P2	L28b	问题扫描/findings/D_COMMENT/p2/L28b.md	5	细分阈 1.25 的溯源括号被清空为 []，同值在 ALG 文档里是另一个常量（HP_CIRCUMRADIUS_FACTOR）：注释留下「有出处」的形状而无出处	369（常量与空括号）、:590（唯一读取点 local_max / local_min <= ADAPTIVE_RATIO_THRESH）；被误读对象 docs/algorithms/DRIZZLE_GEOMETRY.md:65-66（1.25·hp_res，HP_CIRCUMRADIUS_FACTOR=1.25）、:237	（:369）static const double ADAPTIVE_RATIO_THRESH = 1.25;  // 尺度比阈值 (max/min > 1.25 触发细分) [] / （DRIZZLE_GEOMETRY.md:65）1. quick-reject: lim = max_angle + 1.25·hp_res / （DRIZZLE_GEOMETRY.md:66）（HP_CIRCUMRADIUS_FACTOR=1.25，:42；极区实测最坏 1.044×hp_res）；	15（unusual numeric constant 须给来源）；宪章 §12.2（注释只写非显然决定且须与权威一致）、§12.3-3	OPEN	
L28c-D-002	D_COMMENT	P2	L28c	问题扫描/findings/D_COMMENT/p2/L28c.md	6	bench_report.h 自称「预冻结规则唯一出处」的三个门限常数（3 warmup / 7 measure / MAD÷median ≤ 0.35）在 docs·contracts·ci 全域零登记，注释以「验收」名义承载未登记的裁决	36-42（并 :85 与实现 lib/backend_host/bench_report.cpp:85）	":36 ""// ── 预冻结规则(唯一出处; CPU-006 验收: 异常值剔除规则预先固定) ──"" / :37-39 ""// 计时统计: 3 warmup(不计时) + 7 measure(单调钟) → median/MAD/p05/p95。// 不做逐点剔除: median 对离群点天然稳健; p05/p95 仅记录供审计。// 离散度阈值: 胜出候选 MAD/median >  / :40-42 ""inline constexpr int kBenchWarmup = 3; / inline constexpr int kBenchSamples = 7; / inline const"	15（unusual numeric constant 须给来源）；宪章 §10.3（benchmark 选择依据须用稳定统计并可比）、§12.2（禁以注释承载裁决）；L28b R-4（窗口含公式/阈值词 ⇒ NEED）与 R-2（三式锚）、R-6c（被指派为权威者须回写 L1）	OPEN	
L28d-D-002	D_COMMENT	P2	L28d	问题扫描/findings/D_COMMENT/p2/L28d.md	5	边细分阈值块注释仍写整改前口径（×1e-12 / 1.6e-14 rad / 每边 ~256 段），与同函数 20 行后的「新阈值 1e-6」与代码相反	550-555（函数上方主说明块）；被否证的实现 :576-577；同文件已订正口径 :565、:572-573；常量 :550 HP_ADAPTIVE_MAX_DEPTH=8	（:552-553）// hp_epsilon = hp_res_rad * 1e-12, 其中 hp_res_rad = sqrt(π/(3·Ns²)) / // NSIDE=64 时 hp_epsilon ≈ 1.6e-14 rad, 每条边细分到 ~256 段 / （:565）    // 修复: HEALPix 边细分阈值从 1e-12 改为 1e-6 / （:572-573）    // 新阈值 1e-6 (相对值): NSIDE=65536→1.56e-11, 1-2次二分收敛 (2-4段/边); / （:577）    double hp_epsilon = hp_res_rad	宪章 §12.2（注释须与实现一致；禁两代口径并存无取代标记）、§12.3-1；docs/algorithms/DRIZZLE_GEOMETRY.md（overlap 面积路径合同）	OPEN	
L28d-D-003	D_COMMENT	P2	L28d	问题扫描/findings/D_COMMENT/p2/L28d.md	22	CD 阻尼过渡带的上限注释「1e-4 → ~22」与实现的对数插值上限 1e6 相差约 4.5 个数量级，同函数两处注释互斥	613-617（函数上方说明块）；被否证实现 :618-629（log10 插值）；同函数内已订正口径 :623；参数默认值 lib/plate_solve/cpp/ipv/include/ipv_robust_refine.h:49-52	（:615）// 1%-3% → 指数过渡 (1e-4 → ~22) / （:623）    // 1%-3% 指数过渡: 从 cd_damp_base (1e-4) 到 cd_damp_freeze (1e6) 的对数插值 / （:626-629）    double log_lo = std::log10(params.cd_damp_base); double log_hi = std::log10(params.cd_damp_freeze); double log_damp = log_lo + / （robust_refine.h:51-52）double cd_damp_base	宪章 §12.2（边界条件与非显然决定须写对；注释须与实现一致）、§12.3-1	OPEN	
L28e-D-002	D_COMMENT	P2	L28e	问题扫描/findings/D_COMMENT/p2/L28e.md	5	COMMENT_STANDARD 的推荐写法示例自带两个不可解析 ID（示例即伪锚）	35-40（「科学代码推荐写法」代码块，:38 为示例注释行）；对照条文同文件 :10（必须注释第 1 项：科学公式须给 SCI/ALG ID）与 :32；SCI-DRZ-004 与 ALG-DRZ-OVERLAP-001 的实际登记面 docs/science/DRIZZLE.md、docs/modules/healpix_drizzle.md、tools/quality/update_audit_status.py:147	docs/standards/COMMENT_STANDARD.md:37-40 → ```cpp / // SCI-DRZ-004 / ALG-DRZ-OVERLAP-002: / // Conservative reject; false positives are allo / docs/standards/COMMENT_STANDARD.md:10 → 1. 科学公式：变量/单位 + SCI/ALG ID（完整推导放 science/algorithm docs）。	宪章 §12.3-3（引用**有效** SCI/ALG）、§12.3-9（无悬空引用）、§12.1（STANDARDS 层权威）；L28b R-2①（ID 锚须在登记面可解析）与 R-3（伪锚排除）	OPEN	
M1a-D-002	D_COMMENT	P2	M1a	问题扫描/findings/D_COMMENT/p2/M1a_L01_L02.md	3	"科学链路单位注释自矛盾群（重锚定稿）：StarPoint/U 注""角秒""而实际为像素、SIP order 值域注释过期、x00 日志单位名实不符"	:StarPoint / ::IpvWcsResult；docs/algorithms/PLATESOLVE.md::§5（U 向量定义）；lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp::extract_wcs_sip（x00/y00 日志）	（ipv_types.h:26-29）// 星点 (**角秒坐标**, 原点在图像中心)  struct StarPoint { double x; // X坐标(**角秒**)  double y; // Y坐标(**角秒**) / （PLATESOLVE.md:115）U = (det_x − cx, **−**(det_y − cy)) … 像素 / （ipv_types.h:68-69）int order;      // 前向 SIP 阶数 (0=无 SIP, **2/3/4**)  int ap_order;   // 逆向 SIP 阶数 (0=无逆向 SIP, **2/3/4**	宪章 §12.3-15、§13.1	OPEN	STILL-WAITING-UNTRACKED-LOCK
M1a-D-003	D_COMMENT	P2	M1a	问题扫描/findings/D_COMMENT/p2/M1a_L01_L02.md	19	注释卫生：头注与被其废止的非目标并存、审计流水堆积、合同式注释与代码矛盾（多文件）	:文件头注释；lib/phase3_session/p3_wcs.h:::25-27/:43-44；lib/phase3_session/p3_output.cpp:::73-84；docs/algorithms/PHASE3_RSMP_IMPL.md::§1	"（p3_resample.h:23-27）/* 已废止的""不实现 variance/ivar""非目标（§30.4-4 supersession）… */ / （PHASE3_RSMP_IMPL.md:24）非目标：不实现 variance/weight/ivar/support 输入  （合同侧未订正，见 M1a-C-006） / （p3_wcs.cpp:29-40）// STD-F1 … 全文件唯一 +1 点 … 由负向注入用例锁定: tests/unit/p3_wcs_test.cpp（九宫格 + 双桥接/无桥接必败） / （p3_output.cpp:73-84）… 逐提交号注释（B2-"	宪章 §13.1（单一事实源）、§12.3-9；10_PROTOCOL 注释卫生判据（叶子口径）	OPEN	
M2a-D-1	D_COMMENT	P2	M2a	问题扫描/findings/D_COMMENT/p2/M2a_L04_L10.md	5	极区尺度常数写成 211034.6（真值 ≈211076.3），配套注释给出与代码不同的裕量系数	:HEALPIX_SCALE_PER_NSIDE_ARCSEC 注释簇；docs/algorithms/DRIZZLE_GEOMETRY.md::§4 常数表；lib/healpix_db/healpix_drizzle/spherical_overlap.cpp::赤道带快速路径注释段（delta 系数）	（drizzle_engine.cpp:615-619 与 :675-677）// HEALPIX_SCALE_PER_NSIDE_ARCSEC ≈ 211034.6 …（同值重复注释） / （同文件 :677 区段的实算表达式）std::sqrt(M_PI/3.0) * (180.0/M_PI) * 3600.0   // = 1.0233267 × 206264.806 = **211076.3**，注释写 211034.6 / （DRIZZLE_GEOMETRY.md:87/:89）HEALPIX_SCALE_PER_NSIDE_ARCSEC ≈ 211034.6 / （spherica	宪章 §12.3-10（注释不得与实现的单位/精度/边界陈述相反）、§12.2（注释只解释数学原因与边界条件）；ALG-DRZ-001 §4	OPEN	
M2a-D-2	D_COMMENT	P2	M2a	问题扫描/findings/D_COMMENT/p2/M2a_L04_L10.md	23	累加器字段数与位宽注释三处互斥（3 字段/20B→12B vs 4 字段实现 vs 迁移面「6 个 f64」）	:TileAccumulatorT 注释与结构体；::processPixel 形参注释；lib/drizzle/src/module_entry.cpp::内存/工作单元估算段；docs/algorithms/DRIZZLE_GEOMETRY.md::§8 legacy 段	（drizzle_engine.h:60）// FP32 模式: TileAccumulatorT<float> — **真 FP32 累计**, 不共享 double / （drizzle_engine.h:62-63）// release 只保留 sumFlux/sumArea/nContrib … 20B→12B / （drizzle_engine.h:64-70）struct TileAccumulatorT { Scalar sumFlux; Scalar sumArea; Scalar sumVarNum; Scalar nContrib; … }   // 四字段，且 FP32 	宪章 §12.3-10（注释不得与实现的单位/精度/所有权/边界陈述相反）	OPEN	
M2a-D-3	D_COMMENT	P2	M2a	问题扫描/findings/D_COMMENT/p2/M2a_L04_L10.md	42	生产代码注释堆积任务号/审计流水，违 §12.2 的注释白名单	:drizzleTiled（P1-DRZ-NONFINITE 段）；::spherical_overlap.cpp（签字修正 ORACLE_HARDENING 段）；lib/astro_image_io/src/hips/aio_hips_writer.cpp（B2-A8 段）；docs/algorithms/DRIZZLE_GEOMETRY.md::§8（B2-A12/B2-A14/B2-A17 引用簇）；docs/contracts/DATA_SEMANTICS.md::§11.1（同簇）	（宪章 §12.2:429）代码注释只解释单位、数学原因、前后置条件、所有权、线程安全、生命周期、边界条件和非显然决定；**禁止堆积历史版本号、任务编号、审计流水和代码复述**。 / （drizzle_engine.cpp:1713-1719）// (P1-DRZ-NONFINITE) 冻结合同 docs/science/DRIZZLE.md §8 :96: …旧 isfinite(...)+continue 静默吞像素已删除 / （spherical_overlap.cpp:1599）// → 快速路径仅用于赤道带, delta 乘 1.25 安全系数 (签字修正 ORACLE_HARDEN	宪章 §12.2（注释内容白名单，FROZEN）	OPEN	
M2a-D-4	D_COMMENT	P2	M2a	问题扫描/findings/D_COMMENT/p2/M2a_L04_L10.md	60	Gaia 侧注释/断言簇：算法名与实现不符、扩展函数声明无对应实现、已修缺陷仍留过期弱断言与恒真断言	:文件头能力注释；lib/gaia_xpsd_client/CMakeLists.txt::libm 扩展说明行；lib/gaia_xpsd_client/src/gaia_client.c::结果装配段（死数组）；tests/unit/gaia_cat_test.c::KI-1 断言段与尾部检查段	"（gaia_client.h:11）\|dec\|>85° 仍保守（Lipschitz 常数…）   // grep ""85"" 在 gaia_client.c → 仅命中一个哈希常量，无 |dec|>85° 分支 / （gaia_client.h:17）最近邻 …（**Haversine 余弦定理**）   // 实现用的是球面三角余弦公式（acos 形式），非 haversine / （CMakeLists.txt:100）使用 GNU libm 扩展 sincos   // grep ""sincos"" 于 gaia_client.c → NO HIT / （gaia_cat_test.c:"	宪章 §12.3-10、§12.2、§13.1（断言须能失败）	OPEN	
M3-D-004	D_COMMENT	P2	M3	问题扫描/findings/D_COMMENT/p2/M3_L05_L07.md	4	`master_generator.cpp` 注释引用不存在的合同小节，并以任务号流水充当契约依据	:generate_master_flat 步骤3 前注释`（复核时点 :171-175）；`::generate_master 上方注释`（:89-91）；`lib/phase1_session/p1_session.cpp::阶段注释块`（复核时点 :290、:323、:328-331、:353-356、:392-394 等，含 `PROD-P0-001`/`CORE-DEG-001`/`P1-R14-3`/`P1-001`/`CORE-R12-01`）	// 与 docs/science/CALIBRATION.md §flat_norm 定义完全一致：（master_generator.cpp:172） / //   flat_norm = max(flat / median(flat), 0.1)  (median→1.0, 逐像素 floor 0.1)（:173） / // PROD-P0-001 修复: master_bias 是 dark 的基底…（p1_session.cpp:290） / // P1-001 (attempt 2): complete 门 fail-closed（PROD-P0-001 Phase1 侧; 宪章 	宪章 §12.2（禁止任务号/版本/控制包流水叙述充当规范依据）、§12.3-1（锚点必须可定位）	OPEN	
M3-D-005	D_COMMENT	P2	M3	问题扫描/findings/D_COMMENT/p2/M3_L05_L07.md	20	cosmetic 注释与 ALG 描述一个不存在的 label-0 防误清机制，并把 method=1 写成 8 邻居双线性	:文件头与 detect_hot/cold 注释`（复核时点 :14、:59-60；实际守卫 `labels[i] > 0` 在 :104/:109）；`::interpolate_pixels 上方注释`（:157-159）与实现（:169-218）；`docs/algorithms/COSMETIC_ALGORITHMS.md::§3 步 4 与 §13.1 锚表`（复核时点 :65-66、:47）；对照 `lib/cosmetic/README.md:::74-82`（已正确登记）	// 背景 label 0 的 size 设为 max_size，防止全图被误标记（cosmetic_corrector.cpp:14；:59-60 重述） / if (labels[i] > 0) { …（:104/:109 —— 实际机制：label 0 直接跳过，不参与 size 统计） / // method=1 (bilinear): 用8邻居双线性插值替换坏像素（:159） / for (int k = 0; k < 4; ++k)（:199 —— 仅 4 正交方向；权重为 1/dist 反距离加权，非双线性） / - `interpolate_bilinear`（:95-101）	宪章 §12.2、§12.3-1；SCI-CAL-001 §8（修复策略行只登记 median 5×5，未登记 bilinear/IDW）	OPEN	
